modello,temperatura,sample_id,alpha_o1,alpha_o2,alpha_o2_mescolato,deriva
Qwen2.5-1.5B,0.4,5,0.5148271405698447,0.4060545772731712,0.497096442985256,0.009497405105094586
Qwen2.5-1.5B,0.4,2,0.9854535080989907,0.8863762757264807,0.46944655838910293,0.02702801875822072
Qwen2.5-1.5B,0.5,3,0.31857240404586173,0.251043014406223,0.509486427938643,0.007147499536868944
Qwen2.5-1.5B,0.5,4,0.6722948047929501,0.5004323209774401,0.4837567003376069,0.03228199227175198
Qwen2.5-1.5B,0.6,2,0.9378268193105359,0.6891535142465687,0.477515226351208,0.06425225061874318
Qwen2.5-1.5B,0.5,5,0.3417500960294309,0.27194662700202055,0.49328006344999487,0.008780432471702227
Qwen2.5-1.5B,0.4,1,0.23981965428026994,0.1969774332733159,0.4904262847965677,0.004241638965320181
Qwen2.5-1.5B,0.6,3,0.2875841511523257,0.23547284217860326,0.49822749816429474,0.0029491617708057956
Qwen2.5-1.5B,0.4,4,0.40468584508229055,0.32378551389876564,0.510115897525464,0.006218857394702248
Qwen2.5-1.5B,0.4,3,0.6227645729582143,0.4616271895244268,0.49395642269943085,0.03965620246423615
Qwen2.5-1.5B,0.5,1,0.26708520127627355,0.2312382316854412,0.49017982394465864,0.004726072653878219
Qwen2.5-1.5B,0.5,2,0.7903914572284894,0.662609012163196,0.5129859205802154,0.019006507283310464
Qwen2.5-1.5B,0.6,1,0.7139643395488223,0.46959001623631286,0.4870945808848597,0.05137974972424965
Qwen2.5-1.5B,0.7,1,0.7985462048516452,0.6786962274752854,0.5051701020460535,0.16447841526011414
Qwen2.5-1.5B,0.8,1,0.9541154018717452,0.7475651737105684,0.5107458530192948,0.22290941935167152
Qwen2.5-1.5B,0.6,4,0.708120982313212,0.4916436632772538,0.4972051619005586,0.07901305878805812
Qwen2.5-1.5B,0.7,3,0.6129192560774341,0.37627927909976494,0.49148851476293776,0.041819777044621066
Qwen2.5-1.5B,0.7,5,0.6376994254404093,0.6127625758516774,0.48520342644868886,0.2771852726508852
Qwen2.5-1.5B,0.7,2,0.39449342649428143,0.3681646886071578,0.5003650612164129,0.008061587645165428
Qwen2.5-1.5B,0.8,5,0.8664493102357298,0.6868280788228361,0.4842062832609858,0.36205114961691065
Qwen2.5-1.5B,0.7,4,0.4113770674337179,0.38422912614916144,0.5028069819704699,0.04702346338961037
