modello,temperatura,sample_id,n_continuations,n_token,n_tipi,n_char,n_parole,alpha,MAPE,alpha_rango,beta,R,TTR,TTR_parole,rip_8gram,dist_rip_media,dist_rip_sd,alpha_DFA,alpha_DFA_mescolato,R_gzip,compr_condizionata,prefix_media,prefix_trend,prefix_var,gap_shuffle,NCD_shuffle,H_char_norm,H_parola_norm,quota_non_ascii,H_bit_char,D_s_umano,LCS_umano,alpha_DFA_o2,scarto_ordine
Qwen2.5-1.5B,0.4,5,0,20000,110,69583,14015,0.2776660547423808,0.4370731741712618,-0.0,-1.6551805605341498e-16,0.0,0.0055,0.005779521940777738,0.9847944031981725,10.200875556193484,7.190066336257267,0.5148271405698447,0.5097142439727556,0.011266551377022945,0.004304567481183627,0.557478682290752,-0.027659021255160822,0.17608563933852658,0.1316346997640392,1.028088304368248,0.7748301845908752,0.516016138656325,0.05680985298133165,0.000991511658684707,2.0540807272720674,29,0.4060545772731712,-0.10877256329667351
Qwen2.5-1.5B,0.4,2,0,20000,97,58593,15992,0.27593250698134075,0.4706294905346063,,-2.5719552208543746e-16,0.0,0.00485,0.0043771885942971486,0.9891773537691586,5.150860444667756,2.550650493147374,0.9854535080989907,0.46833018252697467,0.011330746967177781,0.003906850832128465,0.07289200204600235,-9.644059041478014e-05,0.21662307574909206,0.06355699158839163,1.0343535290443473,0.6794191777390066,0.39543631376776034,0.05430682846073763,0.0010129648821242678,2.111883539273195,29,0.8863762757264807,-0.09907723237250998
Qwen2.5-1.5B,0.5,3,0,20000,134,71702,14931,0.34682885102040995,0.8202833992938167,-0.0,-1.592210817317125e-16,0.0,0.0067,0.005692853794119617,0.9826454033771107,27.06749292738785,19.038571942621058,0.31857240404586173,0.5279072372947357,0.013818486646495605,0.004843819548084728,0.09731964364042929,-0.0010558273613225427,0.23973678415320113,0.1854266544530195,1.0146285560199542,0.8051007714439079,0.7227111601504884,0.033708962093107586,0.000991511658684707,1.6938536028810405,31,0.251043014406223,-0.06752938963963873
Qwen2.5-1.5B,0.5,4,0,20000,175,82009,17622,0.37980279263825467,0.4088374681201868,-0.0,-1.6081631329646754e-16,0.0,0.00875,0.007093405969810464,0.9814362759012205,15.54569354746528,10.503720980061122,0.6722948047929501,0.48960584501895404,0.015586536352336153,0.004901841238873308,0.09625318302935666,-0.0004200417589799095,0.2539925586281456,0.1655122234315225,1.0219172470299058,0.7305883295481465,0.5630441658869554,0.0003170383738370179,0.000991511658684707,1.7155874601934646,24,0.5004323209774401,-0.17186248381551006
Qwen2.5-1.5B,0.6,2,0,20000,214,65838,14236,0.3842561670506906,0.31758870701529174,-0.0,-3.155853154155434e-16,0.0,0.0107,0.010817645406012925,0.9674608194532294,8.851867632438575,11.384504589297434,0.9378268193105359,0.46504261382704964,0.02141545373138859,0.004860414957927033,0.08724064587528424,-0.00011334313835050248,0.15236490474076156,0.11208945465061759,1.0252799261225902,0.7013187643827123,0.44104821644437253,0.00039490871533157145,0.000991511658684707,1.8076095368992595,22,0.6891535142465687,-0.24867330506396723
Qwen2.5-1.5B,0.5,5,0,20000,147,71055,12668,0.4041772511504023,0.689983147727753,-0.0,-1.6513763033548989e-16,0.0,0.00735,0.008051784022734449,0.9713292788879235,32.406732452650004,11.600175727491486,0.3417500960294309,0.49051088842663315,0.015268512903443164,0.004419532176350113,0.07283785938483885,-0.0002541443386684927,0.1574928760972403,0.16952459778758813,1.0143972114874593,0.8058161888533518,0.7548916543252994,0.024600661459432835,0.000991511658684707,1.5990569911991916,26,0.27194662700202055,-0.06980346902741036
Qwen2.5-1.5B,0.4,1,0,20000,81,65461,11690,0.28295202901135474,0.7049072241193963,,-1.241923991640288e-16,0.0,0.00405,0.004448246364414029,0.9862192929898143,13.038236810448531,7.249013921713866,0.23981965428026994,0.49420744011344087,0.009710076963394113,0.004025032393240151,0.6727489922175387,-0.12671629418480163,0.3265149072551886,0.1293615261187333,1.022972972972973,0.823354953417284,0.6303359369386113,0.0569499396587281,0.000991511658684707,1.9079552185332171,23,0.1969774332733159,-0.042842221006954034
Qwen2.5-1.5B,0.6,3,0,20000,101,74582,15479,0.2553470903537956,0.4453643556933708,,-2.5194289515363054e-16,0.0,0.00505,0.004134634020285548,0.9909513960703206,8.071942912747325,1.9548125085404247,0.2875841511523257,0.4974101969837649,0.010953357733714086,0.0046928213241800975,0.07064385509432318,-0.00015561494921235758,0.2157734825562939,0.11824346438088568,1.0281141413077814,0.7680440116140903,0.5127964152484302,5.36322437049154e-05,0.000991511658684707,2.0009021402310303,18,0.23547284217860326,-0.05211130897372246
Qwen2.5-1.5B,0.4,4,0,20000,94,78896,16134,0.27768836928634005,0.6501086713719376,,-3.3602673538837786e-17,0.0,0.0047,0.003718854592785422,0.9890246171017548,16.029861888764465,6.650707223703786,0.40468584508229055,0.5176907963618417,0.010151417172000634,0.0041475553820630425,0.07168921932900957,-0.00020241838759729006,0.22579177610252732,0.1389933212986779,1.0224066390041493,0.8191873502912868,0.6665814394212444,0.019430642871628472,0.000991511658684707,2.0970860194009058,24,0.32378551389876564,-0.08090033118352491
Qwen2.5-1.5B,0.4,3,0,20000,120,69641,14668,0.3806534634705197,0.3953254688640093,-0.0,-2.9095865679746793e-16,0.0,0.006,0.005317698391055358,0.9788554668849329,14.660246744345443,11.746531557880497,0.6227645729582143,0.4979257291897309,0.013065084963129208,0.004346782580868823,0.07924125455349655,-0.0004850295970327505,0.21655747692007468,0.166002431830677,1.021856620569067,0.8071834437241641,0.611918374230822,0.03746356313091426,0.000991511658684707,1.8071471144032507,25,0.4616271895244268,-0.16113738343378753
Qwen2.5-1.5B,0.5,1,0,20000,130,78898,16109,0.29292044371703824,0.6176921445907604,-0.0,-3.6803397441898655e-16,0.0,0.0065,0.005835247377242535,0.9862749968947957,19.083609116453324,10.358021403368321,0.26708520127627355,0.49592690435352715,0.011887110469021278,0.004360059824076656,0.06898736399398976,-0.00016761290408126963,0.18546003066035607,0.16016142922657725,1.021667662881052,0.787460912062285,0.6292697243802213,7.604755507110446e-05,0.000991511658684707,1.975468902950534,22,0.2312382316854412,-0.03584696959083236
Qwen2.5-1.5B,0.5,2,0,20000,94,78917,15834,0.2962339902486476,0.41797954532540915,,-3.3602673538837786e-17,0.0,0.0047,0.004041935076417835,0.9881215644152398,6.13715916296766,3.315920405805123,0.7903914572284894,0.5205372328914134,0.011477798188382847,0.004739096277148433,0.07117966601547297,-0.00020721796956551432,0.2101172385751359,0.11612024291754397,1.027198549410698,0.7020075754487811,0.4383516080457122,0.00011404386887489387,0.000991511658684707,2.026797800007535,23,0.662609012163196,-0.12778244506529335
Qwen2.5-1.5B,0.6,1,0,20000,184,76522,16232,0.38773324121897446,0.3506473275803544,-0.0,0.00017590116924614174,0.0,0.0092,0.007454411039921144,0.9699229583975346,12.928620197380672,16.049729359165248,0.7139643395488223,0.4893352667854074,0.020139224470071965,0.005514753926975249,0.050457493701830954,-4.852349582618481e-05,0.04507295639271451,0.1250150101893127,1.023744292237443,0.7518761174332146,0.5317588253639867,0.00031363529442513265,0.000991511658684707,1.748881879906114,22,0.46959001623631286,-0.24437432331250947
Qwen2.5-1.5B,0.7,1,2,20000,398,73049,12748,0.5204018083472086,0.31364658179914173,1.080812016110161,0.04928282772777303,0.0,0.0199,0.020866018198933165,0.9144494152735264,12.802034930299632,52.81195901125099,0.7985462048516452,0.5052622755490355,0.0315239195185703,0.004450860098640683,0.4246998191789515,-0.006844839174978387,0.21475061832453302,0.09493912733878512,1.023741989704801,0.7046492988453464,0.4168914018530197,0.06310832454927515,0.000991511658684707,1.3035690162494276,27,0.6786962274752854,-0.11984997737635983
Qwen2.5-1.5B,0.8,1,0,20000,1158,73384,16037,0.650500693872417,0.16812570630401671,1.0282759467259648,0.3484824752884095,0.0,0.0579,0.04907401633722018,0.73243917654398,72.60137704918033,390.26882519542244,0.9541154018717452,0.5161506620108978,0.11944317294488274,0.007249536683745775,0.24354922073893592,-0.0002343663130889252,0.16615906601112101,0.11936136025641561,1.0045499049703392,0.684432300059574,0.5456914500286497,0.006500054507794614,1.127348755924512,0.28392741254953824,28,0.7475651737105684,-0.20655022816117674
Qwen2.5-1.5B,0.6,4,0,20000,305,84091,17306,0.4293527097397771,0.37039354519411644,0.7503444292394448,0.01180152221993005,0.0,0.01525,0.01225008667514157,0.9488987802763166,11.99052299052299,19.32924666939087,0.708120982313212,0.5006858366809659,0.02735612812874589,0.0051610141273842934,0.11988014547084001,-0.000491188034749716,0.21088717484929415,0.13134474141549715,1.0233300402766168,0.7336569753492947,0.47084133466984,0.0011297285084016125,0.000991511658684707,1.4372091175960344,26,0.4916436632772538,-0.21647731903595818
