modello,temperatura,n_token,alpha,MAPE,beta,R,TTR,alpha_DFA,alpha_DFA_mescolato,R_gzip,compr_condizionata,prefix_trend,NCD_shuffle,H_bit_char,H_parola_norm,D_s_umano,LCS_umano,rip_8gram,dist_rip_media,quota_non_ascii,max_fft,gapelmaper,copertura
Qwen2.5-1.5B,0.4,20000.0,0.299,0.5316,-0.0,0.0,0.005,0.5535,0.4976,0.0111,0.0041,-0.031,1.0259,0.001,0.5641,1.9956,26.0,0.9856,11.816,0.045,13.5654,1.0599,0.9928
Qwen2.5-1.5B,0.5,20000.0,0.344,0.591,-0.0,0.0,0.0068,0.478,0.5049,0.0136,0.0047,-0.0004,1.02,0.001,0.6217,1.8022,25.2,0.982,20.0481,0.0118,7.7511,1.0004,0.992
Qwen2.5-1.5B,0.6,20000.0,0.3626,0.3612,0.0024,0.0,0.0097,0.7164,0.4894,0.019,0.005,-0.0002,1.0266,0.001,0.4751,1.7635,21.4,0.9718,9.8405,0.0004,14.7117,0.9677,0.9997
Qwen2.5-1.5B,0.7,20000.0,0.4908,0.4811,0.0569,0.0,0.0197,0.571,0.501,0.0362,0.0059,-0.0019,1.0154,0.0015,0.5486,1.5657,24.4,0.9229,28.2082,0.0178,12.4465,1.1717,0.9873
Qwen2.5-1.5B,0.8,20000.0,0.6034,0.2421,0.255,0.0003,0.0443,0.7915,0.502,0.0934,0.007,-0.0005,1.0105,0.3907,0.4873,0.8289,27.25,0.798,40.4655,0.006,14.7543,0.8396,0.9979
Qwen2.5-1.5B,0.9,20000.0,0.7665,0.1357,0.5262,0.1588,0.1168,0.8039,0.5046,0.2068,0.108,-0.0008,0.9847,1.0996,0.5565,0.3213,24.75,0.4793,181.6136,0.0069,6.2012,1.0076,0.9507
Qwen2.5-1.5B,1.0,20000.0,1.3772,0.3185,0.8158,0.4669,0.3176,0.736,0.4904,0.6124,0.5773,-0.0002,0.9937,3.847,0.9479,0.8919,23.4,0.0007,438.9299,0.1539,0.1221,1.2112,0.4622
Qwen2.5-1.5B,1.1,20000.0,1.4978,0.5046,0.7642,0.6454,0.4072,0.6723,0.4935,0.6937,0.6717,0.0002,0.9767,4.1804,0.9916,1.181,20.25,0.0,900.0696,0.1848,0.0859,1.5552,0.3013
Qwen2.5-1.5B,1.2,20000.0,1.4886,0.5683,0.7926,0.6704,0.4392,0.5896,0.4821,0.6935,0.6696,-0.006,0.9751,4.1083,0.9951,1.2897,17.6,0.0,1150.9986,0.179,0.0542,0.908,0.2832
Qwen2.5-1.5B,1.3,20000.0,1.4765,0.629,0.7935,0.6993,0.4525,0.5386,0.4991,0.69,0.6654,-0.024,0.9731,4.023,0.9964,1.3304,16.6,0.0,1411.2433,0.1785,0.02,0.9013,0.2813
Qwen2.5-1.5B,1.4,20000.0,1.4704,0.7599,0.8144,0.717,0.4625,0.5108,0.5012,0.6877,0.6662,-0.0173,0.9747,4.0193,0.9969,1.2926,14.8,0.0,1503.4729,0.176,0.0178,0.9743,0.3073
