corpus,tipo,n_coda,xmin,mu,tau_c,tau_c_lo,tau_c_hi
letterario,lettera,90489,2.166274902058848,0.7446524144673838,1.1514720494002906,1.108227424602261,1.1976610201437714
letterario,funzione,4062,2.225402176089714,2.562227462562956,5.318942917115185,4.024153372817261,7.550132199812168
letterario,appaiata,608,2.547522120916462,1.8588350017873752,3.151463991538789,1.9505331353259348,6.543099635845865
letterario,keyword,633,2.163656660127198,1.7566239524133365,11.209233913085779,7.2087144696429455,20.87425484481458
wikipedia,lettera,180368,2.155276809394339,0.7394225244606321,1.125355447162979,1.0949743796993059,1.157196427350736
wikipedia,funzione,8303,2.173642114230228,1.5933458826836269,1.941646375883189,1.6901422489889588,2.2642784941936718
wikipedia,appaiata,1460,2.401305111687442,2.0131931325034076,3.390590751865216,2.4049653674389013,5.3411411416121135
wikipedia,keyword,1867,2.3387738792172645,2.381030348262404,9.587834698472307,6.5193919815302435,16.3215211845326
grok_v01,lettera,182400,2.1645512617375786,0.44678716331263074,1.013824959533078,0.9876239774587804,1.0412285298248831
grok_v01,funzione,5251,2.181097345105605,1.434500384224409,1.70363133354163,1.4402629864188194,2.061007976627794
grok_v01,appaiata,1091,2.227137975105048,2.3242321349036947,3.341996522899349,2.1547590041226177,6.382866811598568
grok_v01,keyword,1298,2.219135235751637,2.4374196554038394,9.939476477786437,6.198129677623133,20.35438072974674
grok_oggi,lettera,181388,2.1642821410705353,0.562894861056369,1.0583137578704889,1.0305018052735904,1.0874268549288166
grok_oggi,funzione,5280,2.1927321651813583,1.555923830566925,1.811068156202331,1.524386830263177,2.2036470775644226
grok_oggi,appaiata,1114,2.278977901748906,2.392847313779723,3.4065032805103366,2.1800925420300685,6.627102704636288
grok_oggi,keyword,1303,2.252175677658052,2.5227686648487238,9.499622143663906,5.825053367192723,20.350564982488482
