sequenza,livello,n_eventi,n_chars,frequenza,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A2,tipo,corpus,titolo
vocali,vc,24329,80000,0.3041125,1.0811090379946244,0.01942949331582771,0.9685602489590126,True,3.288268661624466,1.637635577503546,0.498023655005891,-0.33509240212374014,0.9798093852691693,1.0168424701059493,vocali,wikipedia,Adolf Hitler
spazio,lettere,12529,80000,0.1566125,1.1020120133151208,0.0033569134828467175,1.1165810176342776,True,6.3848978288633464,3.0559825768149453,0.47862669986670375,-0.3526064423023724,1.0494929184744708,0.9942818517851256,spazio,wikipedia,Adolf Hitler
e,lettere,8057,80000,0.1007125,1.2349768643980705,0.0039274958501400005,1.2132325408132163,True,9.927879841112215,8.177022645223314,0.823642386500444,-0.09670624833303251,0.9641195758073312,0.9679156290105029,lettera,wikipedia,Adolf Hitler
t,lettere,5516,80000,0.06895,1.1419953202336433,0.0056935226489187385,1.1065707614092968,True,14.49918404351768,12.438887580989059,0.8579025925634938,-0.0764827004414926,0.9870402711379563,1.0224132152441652,lettera,wikipedia,Adolf Hitler
a,lettere,5371,80000,0.0671375,1.0528521234167294,0.004193184836004715,1.03041246821662,True,14.895903165735568,12.139491682546122,0.8149550616353425,-0.10195565844915475,0.9763144969675454,0.9150162222848092,lettera,wikipedia,Adolf Hitler
i,lettere,5192,80000,0.0649,1.0676971914559328,0.004978275369384804,1.1016866089173833,True,15.407435946831054,13.79720499586665,0.8954900116722153,-0.05513613244291655,0.967758415570157,0.9662066805378178,lettera,wikipedia,Adolf Hitler
n,lettere,4810,80000,0.060125,1.2742950954600316,0.012698667351949326,1.19607982331815,True,16.61717612809316,14.6058035360118,0.8789582190995188,-0.06441962342222272,0.9566873616756751,0.9943321896865539,lettera,wikipedia,Adolf Hitler
r,lettere,4641,80000,0.0580125,1.0151084208287928,0.003048438931205531,1.0122575586272473,True,17.238577586206898,14.87175104761578,0.8627017497960571,-0.07370919698710514,1.0227232872914362,0.9736363674580648,lettera,wikipedia,Adolf Hitler
o,lettere,4243,80000,0.0530375,1.1972254419138657,0.007005700999225451,1.1519662129566508,True,18.85785007072136,16.567477819222027,0.8785454204530263,-0.0646535229995578,0.9443098381063865,1.011039533302138,lettera,wikipedia,Adolf Hitler
s,lettere,3815,80000,0.0476875,1.1477012747461928,0.002104545732282837,1.1455522757469438,True,20.961195595175667,19.58470113317442,0.934331300151693,-0.033949044738694575,0.9942651449848404,0.9288685762902397,lettera,wikipedia,Adolf Hitler
h,lettere,3280,80000,0.041,1.2003686453393199,0.0043801144543257975,1.1763779964538046,True,24.390362915523024,20.68503698755134,0.8480823782407327,-0.08220284092740715,0.9739924345064565,1.0011944803249382,lettera,wikipedia,Adolf Hitler
l,lettere,2876,80000,0.03595,1.0632864562972366,0.00561980581148834,1.0389029206251388,True,27.822260869565216,27.002410877855784,0.9705325891539509,-0.014954033751200687,1.0142451639084775,0.9671819018224355,lettera,wikipedia,Adolf Hitler
d,lettere,2620,80000,0.03275,1.2129477156949096,0.010957325984499429,1.15085891114468,True,30.521954944635358,27.00750742747052,0.8848550977963308,-0.06108952478006946,1.006154553591924,0.9630256766557616,lettera,wikipedia,Adolf Hitler
c,lettere,1974,80000,0.024675,1.1477081319785851,0.014165509459624824,1.0651089651933496,True,40.476431829700964,39.5813932386163,0.9778874137213869,-0.011179901406525633,0.9932305700700351,1.001673027775148,lettera,wikipedia,Adolf Hitler
m,lettere,1772,80000,0.02215,1.0280692518283097,0.004557034874259244,1.0590011681106168,True,45.13212874082439,45.358690244760595,1.0050199605083387,0.0025036960265802663,1.0684490868156995,0.9823365152737166,lettera,wikipedia,Adolf Hitler
u,lettere,1466,80000,0.018325,1.0173112482361149,0.00853358242853689,0.9936241945577436,True,54.445051194539246,52.094556123905065,0.9568281226839964,-0.022062171335103655,0.8747022148615203,1.0461745476856734,lettera,wikipedia,Adolf Hitler
f,lettere,1414,80000,0.017675,1.12774622601695,0.009308924174971466,1.076888053764104,True,56.611464968152866,55.91152773460247,0.9876361222246386,-0.006220392976921367,1.0005838834434941,1.012482441402151,lettera,wikipedia,Adolf Hitler
p,lettere,1395,80000,0.0174375,1.2710801448466587,0.011864612743660873,1.199741306409755,True,57.16571018651363,61.71326792405096,1.079550445935161,0.03825367453367432,0.9741560483391415,1.0356959418259677,lettera,wikipedia,Adolf Hitler
g,lettere,1359,80000,0.0169875,1.0369149949878822,0.006441597133534451,1.0723739216309243,True,58.79013254786451,57.033256324949306,0.9701161377466733,-0.015168578989209482,0.9629946807463305,1.0378256805617214,lettera,wikipedia,Adolf Hitler
w,lettere,973,80000,0.0121625,1.119295680530045,0.010396289218802923,1.0648458406864263,True,82.23045267489712,78.05522602349315,0.9492252989545008,-0.026048656906276096,0.9864142908418027,0.9354046054496825,lettera,wikipedia,Adolf Hitler
b,lettere,939,80000,0.0117375,1.1358890068027179,0.006695254550850601,1.1415671400003642,True,85.05330490405117,86.51704377249676,1.017209664810754,0.008531420957854986,1.0295595244856732,1.0770198479471913,lettera,wikipedia,Adolf Hitler
the,parole,930,80000,0.011625,1.2243229463562157,0.005023297422947467,1.1968648611356183,True,85.95048439181916,82.30562081642006,0.9575934492843181,-0.021662593288297616,1.00629047354007,1.047934263261236,funzione,wikipedia,Adolf Hitler
of,parole,468,80000,0.00585,1.104013514027767,0.00789297399633706,1.0702403921171917,True,171.04282655246251,161.0586432761921,0.9416275825329158,-0.030063652778837994,0.9775204331714109,1.0097495707112705,funzione,wikipedia,Adolf Hitler
and,parole,401,80000,0.0050125,1.0106597414871688,0.010799367091123575,0.9532477720925202,True,199.1525,178.30008846778244,0.8952942517306207,-0.0552451146695406,1.0195520583239166,1.0042470565591415,funzione,wikipedia,Adolf Hitler
in,parole,368,80000,0.0046,1.0472437317732803,0.003199430490300815,1.0408906160200488,True,217.56948228882834,218.22578157431425,1.0030165043303945,0.0015059807664454547,1.000220435677604,1.0178824638911408,funzione,wikipedia,Adolf Hitler
to,parole,341,80000,0.0042625,1.0538015907903162,0.006051488825619455,1.0157674420810385,True,233.95882352941177,224.27417785841746,0.9586053412096389,-0.021134762537099845,0.9537254110272398,0.9788523618152342,funzione,wikipedia,Adolf Hitler
his,parole,173,80000,0.0021625,1.2779378964977666,0.010014332420906068,1.2317654859152234,True,464.1686046511628,664.7481258502603,1.432126428175467,0.1776743277690707,0.9773585889557532,1.2025138191470617,funzione,wikipedia,Adolf Hitler
hitler,parole,319,80000,0.0039875,0.9981069916753152,0.022666325531639126,0.8447108050129826,True,251.40880503144655,197.15697644443793,0.784208717032712,-0.12094508949948798,0.9304845290088375,0.9874753448896377,keyword,wikipedia,Adolf Hitler
german,parole,83,80000,0.0010375,1.1907411786425122,0.006703532119567896,1.1538341819858102,True,927.8170731707318,1129.9629746807425,1.2178725821666498,0.0982349409603184,0.995079257243594,1.0857361575207751,keyword,wikipedia,Adolf Hitler
party,parole,70,80000,0.000875,1.4842355966286624,0.007097534772822356,1.4448136064930917,True,1034.231884057971,3492.8937613090934,3.3772830011816857,0.5430955687671821,1.0678400852730119,1.4349208188258986,keyword,wikipedia,Adolf Hitler
hitler's,parole,63,80000,0.0007875,1.1621160733714142,0.016776934429156995,1.0479813340794206,True,1234.3709677419354,1272.827473839131,1.031154739622194,0.015338437300936,1.020506325915708,1.0867160557959774,keyword,wikipedia,Adolf Hitler
germany,parole,65,80000,0.0008125,1.1200048710535155,0.003565240234639442,1.0970150454659526,True,1192.8125,1592.9805933014127,1.3354828133519834,0.14364602104285423,0.9625995350046841,1.180154995553398,keyword,wikipedia,Adolf Hitler
nazi,parole,40,80000,0.0005,1.2333255636260478,0.023288827424479946,1.0695943280460338,True,1960.051282051282,4811.980317525033,2.4550277646251573,0.42113345065492286,0.9542032048722469,1.236953905169513,keyword,wikipedia,Adolf Hitler
army,parole,31,80000,0.0003875,1.1687221015796057,0.005959625958335705,1.1416892058889914,True,2410.6,3371.3637228463103,1.3985579203709908,0.16616564352523322,1.0261982536110128,1.1317372441883056,keyword,wikipedia,Adolf Hitler
on,parole,152,80000,0.0019,1.092481569221072,0.01165615920459388,1.0252282081203077,True,518.9536423841059,525.8655891353271,1.0133190061437227,0.006615447479052874,0.9420183927060254,1.0270392953771343,appaiata,wikipedia,Adolf Hitler
with,parole,81,80000,0.0010125,1.0134359161853859,0.003686717730098356,0.9910688269854913,True,938.4875,1028.9803973203864,1.0964241903279335,0.045994599171673485,1.0256093487611586,1.0298588667511057,appaiata,wikipedia,Adolf Hitler
were,parole,65,80000,0.0008125,1.2053851226697487,0.006219514564084547,1.1668622068463292,True,1069.328125,1466.728105365628,1.3716352081973229,0.15669998780284697,0.9127137582949967,1.1232710265884016,appaiata,wikipedia,Adolf Hitler
from,parole,63,80000,0.0007875,0.9803439926255468,0.005528474522944186,1.0024078928593763,True,1283.9516129032259,1257.006141688758,0.9790136396545819,-0.010604454625730184,0.9985124167697563,0.9531892992090899,appaiata,wikipedia,Adolf Hitler
had,parole,49,80000,0.0006125,1.0212776571647963,0.0029977528481738348,1.012922604325723,True,1555.9166666666667,1550.7816125841439,0.9966996599544602,-0.0016528975848150885,1.029785420829097,0.981488050257053,appaiata,wikipedia,Adolf Hitler
