corpus,tipo,n_coda,xmin,mu,mu_lo,mu_hi,tau_c,mu_hill,LR_vs_pura,p_pura,meglio_lognorm,banda_2_3,tetto_gamma
wikipedia,vocali,72218,1.5773859128637622,4.189323522791444,4.049394609488725,4.326608842507182,2.841799028783609,5.115928398489294,216.58017039496917,5.039200858421576e-49,True,False,-0.18932352279144382
wikipedia,spazio,36566,1.6631936919665928,4.702571578232179,4.204533061852288,5.188245526888945,0.8662524848514064,7.341698170802284,134.30206210468896,4.692463040434047e-31,False,False,-0.7025715782321793
wikipedia,lettera,180368,2.155276809394339,0.7394225244606321,0.6495765016610211,0.8287216551797869,1.125355447162979,4.152556443115689,8288.272257633624,0.0,False,False,3.260577475539368
wikipedia,funzione,8303,2.173642114230228,1.5933458826836269,1.284855006947748,1.892855026140444,1.941646375883189,3.7930980902537557,297.3052464419379,1.2731398274147725e-66,True,False,2.406654117316373
wikipedia,keyword,1867,2.3387738792172645,2.381030348262404,2.084288932981555,2.657988617143247,9.587834698472307,3.0563242321921518,32.551127924093635,1.1609773535082978e-08,False,True,1.6189696517375962
wikipedia,appaiata,1460,2.401305111687442,2.0131931325034076,1.4309985819817355,2.5542027614624083,3.390590751865216,3.5379530185904544,41.85432606858922,9.833296987404834e-11,True,True,1.9868068674965924
grok_v01,vocali,72781,1.5801843548413983,3.0822992786085197,2.9672673967918346,3.19570186000969,2.143437376981951,4.419708356939094,716.7388374748407,6.851642897650857e-158,True,False,0.9177007213914803
grok_v01,spazio,32988,1.5888746270149527,-0.9999999849060992,-0.9999999999935247,-0.9118843173543436,0.2439381357395705,7.591043206119603,1035.1138135644142,4.1871524113053287e-227,True,False,4.999999984906099
grok_v01,lettera,182400,2.1645512617375786,0.44678716331263074,0.35238284922678953,0.5406376058003775,1.013824959533078,4.1993460757743195,9115.982820206322,0.0,False,False,3.5532128366873694
grok_v01,funzione,5251,2.181097345105605,1.434500384224409,1.0127260350490153,1.8410223141180522,1.70363133354163,3.8839219763326445,198.57974585737247,4.2635222532797974e-45,False,False,2.565499615775591
grok_v01,keyword,1298,2.219135235751637,2.4374196554038394,2.087139493456827,2.7590574278000464,9.939476477786437,3.060283106255423,20.174181335274625,7.070078488484147e-06,True,True,1.5625803445961606
grok_v01,appaiata,1091,2.227137975105048,2.3242321349036947,1.6085441186380631,2.976091022818265,3.341996522899349,3.7102068411525226,22.824531130172545,1.7748575282998747e-06,False,True,1.6757678650963053
grok_oggi,vocali,72337,1.581162391452906,3.089589258910524,2.976608290591644,3.200969175503957,2.2209625497634904,4.389425616290391,702.3897158235195,9.037451947022172e-155,True,False,0.9104107410894762
grok_oggi,spazio,32754,1.6001866884469855,4.511897463348895,4.051117860243858,4.960774289907155,0.938203860719436,6.912596753101511,131.2081801618333,2.2295444991608443e-30,True,False,-0.5118974633488946
grok_oggi,lettera,181388,2.1642821410705353,0.562894861056369,0.47035844999448606,0.6548878692378217,1.0583137578704889,4.178183983309474,8791.224695000099,0.0,True,False,3.437105138943631
grok_oggi,funzione,5280,2.1927321651813583,1.555923830566925,1.143472986610603,1.953250440804285,1.811068156202331,3.882591316328371,186.8013887118832,1.5868989388851695e-42,True,False,2.444076169433075
grok_oggi,keyword,1303,2.252175677658052,2.5227686648487238,2.1489176874279163,2.864758816105047,9.499622143663906,3.155791532686132,18.124600379954245,2.0691093653108017e-05,False,True,1.4772313351512762
grok_oggi,appaiata,1114,2.278977901748906,2.392847313779723,1.6667140290619242,3.0534781462991054,3.4065032805103366,3.766827998027286,21.688050508783817,3.2078329586719745e-06,False,True,1.6071526862202772
letterario,vocali,36815,1.4890992732848856,-0.9999999955954814,-0.9999999999726973,-0.9907549070852661,0.33366010782037064,5.484207582822486,4180.099821982789,0.0,True,False,4.9999999955954815
letterario,spazio,19277,1.7428447600473405,0.4773568204492799,-0.018251804552925494,0.9624506338388196,0.5273830448030083,5.472078072303961,562.6433253727737,2.2367077829947506e-124,False,False,3.52264317955072
letterario,lettera,90489,2.166274902058848,0.7446524144673838,0.6199178471753493,0.8683278448471916,1.1514720494002906,4.117998686575218,4217.394622786029,0.0,False,False,3.255347585532616
letterario,funzione,4062,2.225402176089714,2.562227462562956,2.2722981772900006,2.8377061229713636,5.318942917115185,3.509981909430526,62.91246996219343,2.1609972337549463e-15,True,True,1.437772537437044
letterario,keyword,633,2.163656660127198,1.7566239524133365,1.4015128749854722,2.0837661548949646,11.209233913085779,2.4911154993200038,29.08522925053694,6.926305173212998e-08,False,False,2.2433760475866635
letterario,appaiata,608,2.547522120916462,1.8588350017873752,0.888364397300611,2.7272526997460247,3.151463991538789,3.5677402574131616,19.63376293439751,9.379699427890254e-06,False,False,2.141164998212625
