mu,lo,hi,k,n,corpus,tipo,n_seq,banda_2_3,gamma_pred
5.107037473371397,4.974032273083789,5.127603768586235,72062,720616,wikipedia,vocali,39,False,-1.1070374733713972
7.3026760713538765,7.180761159471428,7.374377508298351,36341,363410,wikipedia,spazio,39,False,-3.3026760713538765
4.152538964646985,4.138466520939152,4.165766202489814,180367,1803670,wikipedia,lettera,741,False,-0.15253896464698524
3.7930958675670863,3.7442820203029323,3.850351438650998,8303,83026,wikipedia,funzione,234,False,0.20690413243291372
3.055416021006254,2.972928642612364,3.1428737151182875,1866,18663,wikipedia,keyword,273,False,0.9445839789937458
3.536214694605118,3.4126265282529062,3.645136056966702,1459,14591,wikipedia,appaiata,273,False,0.46378530539488194
4.417030139047808,4.380661109772646,4.444173640440065,72724,727239,grok_v01,vocali,39,False,-0.4170301390478084
7.533100847389922,7.478866475312478,7.998468316506378,32698,326977,grok_v01,spazio,39,False,-3.533100847389922
4.199205753578013,4.1861170819646745,4.208084163601972,182392,1823916,grok_v01,lettera,741,False,-0.1992057535780134
3.8838809511221672,3.81222864693565,3.949910771533042,5251,52508,grok_v01,funzione,234,False,0.11611904887783275
3.060210787989729,2.9698103391672905,3.177724459505148,1298,12979,grok_v01,keyword,273,False,0.9397892120102709
3.70984006447309,3.561568313524,3.85673170225397,1091,10908,grok_v01,appaiata,270,False,0.2901599355269102
4.389238192116522,4.356945185774398,4.416033992152738,72333,723334,grok_oggi,vocali,39,False,-0.38923819211652244
6.891656983199827,6.815182268146895,7.0630461069260155,32638,326381,grok_oggi,spazio,39,False,-2.8916569831998267
4.177816032487757,4.166820715384862,4.191566612231905,181367,1813667,grok_oggi,lettera,741,False,-0.17781603248775735
3.882252455475987,3.819622651830524,3.964771311562645,5279,52793,grok_oggi,funzione,234,False,0.11774754452401304
3.154211070887864,3.0518853294178716,3.2558262207552295,1302,13023,grok_oggi,keyword,271,False,0.8457889291121359
3.764188093173611,3.6190983996958006,3.94791259041245,1114,11137,grok_oggi,appaiata,269,False,0.23581190682638908
5.277384698790636,5.225824419791382,5.32971387187208,35117,351166,letterario,vocali,20,False,-1.2773846987906357
5.458390641362115,5.38417878370285,5.532722363714479,19218,192180,letterario,spazio,20,False,-1.458390641362115
4.117619657239583,4.1010065706403385,4.138345001489031,90478,904780,letterario,lettera,380,False,-0.11761965723958312
3.5093639916783275,3.4435395769107497,3.5716478955151327,4061,40611,letterario,funzione,120,False,0.49063600832167253
2.4902745317712656,2.394588588843275,2.58247324308486,633,6329,letterario,keyword,138,True,1.5097254682287344
3.5635170004108376,3.361695793709381,3.712496900336898,607,6071,letterario,appaiata,138,False,0.43648299958916237
