confronto,livello,n,diff_mediana,vince_primo,p
Grokipedia oggi vs Wikipedia,lettere,39,0.0044360117306564695,0.6410256410256411,0.07980852480613976
Grokipedia oggi vs Wikipedia,parole funzione,39,0.008123065305083665,0.5641025641025641,0.9834906762916944
Grokipedia oggi vs Wikipedia,controlli appaiati,39,-0.1950196239988945,0.05128205128205128,3.637978807091713e-11
Grokipedia oggi vs Wikipedia,keyword,39,-0.16775888325416283,0.20512820512820512,4.063003871124238e-07
Grokipedia v0.1 vs Wikipedia,lettere,39,0.002395339617457304,0.5384615384615384,0.585392383949511
Grokipedia v0.1 vs Wikipedia,parole funzione,39,0.009463454105376745,0.5128205128205128,0.19423144303436857
Grokipedia v0.1 vs Wikipedia,controlli appaiati,39,-0.21355122548553526,0.02564102564102564,1.8189894035458565e-11
Grokipedia v0.1 vs Wikipedia,keyword,39,-0.1316328804905929,0.15384615384615385,1.4542820281349123e-07
Grokipedia oggi vs Grokipedia v0.1,lettere,39,0.0005685988021071342,0.6410256410256411,0.03108793598221382
Grokipedia oggi vs Grokipedia v0.1,parole funzione,39,0.0020827013250540594,0.5641025641025641,0.15827656165492954
Grokipedia oggi vs Grokipedia v0.1,controlli appaiati,39,0.03732107722468509,0.6666666666666666,0.11071177162739332
Grokipedia oggi vs Grokipedia v0.1,keyword,39,-0.012973214025902069,0.38461538461538464,0.04750477915149531
