tipo,corpus,J,J_sd,n,cv
lettera,letterario,-0.17788801268470494,0.009989976494842866,20,0.9495779673039451
lettera,wikipedia,-0.20200595971490606,0.013656839706130087,39,0.9348014548645955
lettera,grok_v01,-0.20147691097341197,0.010644248538707005,39,0.9228630528842066
lettera,grok_oggi,-0.1974961445375634,0.014262398111070662,39,0.9273394069343658
funzione,letterario,-0.18783184045443208,0.05399625872823179,20,1.1919760256632994
funzione,wikipedia,-0.2874333817220865,0.0329584718171286,39,1.0330090950120443
funzione,grok_v01,-0.29970390119777407,0.03908433925415514,39,0.9673725826116194
funzione,grok_oggi,-0.28974669857906105,0.04393839663831226,39,0.9787038419330315
appaiata,letterario,0.18631415005463667,0.11400574841640909,20,1.2619466885147745
appaiata,wikipedia,0.05919136008869183,0.06849540574332574,39,1.1891878943352814
appaiata,grok_v01,-0.17586057666839996,0.1458613487337512,39,1.0447567711518657
appaiata,grok_oggi,-0.13731950105027502,0.1195309980382256,39,1.06685072682567
keyword,letterario,0.061433699123731644,0.10245696785001658,20,1.7892790705117725
keyword,wikipedia,0.08554663314557517,0.10185525340826192,39,1.5304516094314167
keyword,grok_v01,-0.050611901308200424,0.1448448259158166,39,1.3039093565671345
keyword,grok_oggi,-0.0685502992775117,0.14919966762207074,39,1.2886426848584587
