N,parola,n_eventi,cv_tau,J
20000,e,1943,0.8384005357207668,-0.3555855163672329
40000,prince,54,1.2620845604236879,-0.05678896966658136
40000,pierre,39,1.9672867840938826,-0.038490935534590875
40000,e,3911,0.8273814318747112,-0.3586184433472596
60000,prince,102,1.2496295326747449,-0.12999829294200557
60000,pierre,80,1.8027845495980654,-0.17651268792352007
60000,e,5867,0.8306955977103521,-0.34624275524930853
100000,prince,108,1.813736556675805,-0.032198254538484565
100000,pierre,106,1.727826986215457,-0.06681333006464776
100000,e,9448,0.8352503999249853,-0.337721299296378
200000,prince,183,3.123331237382769,0.06321342651262511
200000,pierre,231,2.685943551550852,-0.040893611494362166
200000,e,18880,0.8407810901110782,-0.3339175140832595
400000,prince,399,2.9473925235786833,-0.022725343706022826
400000,pierre,253,2.6502870371606346,-0.002017438131234776
400000,e,37988,0.8383085474537874,-0.332210371705953
800000,prince,815,2.786351416987087,0.044982610342048625
800000,pierre,391,8.074224992610743,-0.007823806661155397
800000,e,76532,0.8443834566251506,-0.3218287873691139
3186696,prince,1913,3.8919916967259662,0.14882367436410257
3186696,pierre,1963,6.862546742993327,-0.12019068468490958
3186696,e,310157,0.84358216287782,-0.3174603133634375
