confronto,livello,n,diff_mediana,vince_primo,p
Grokipedia oggi vs Wikipedia,lettere,39,0.0044360117306564695,0.6410256410256411,0.07980852480613976
Grokipedia oggi vs Wikipedia,parole funzione,39,0.008123065305083665,0.5641025641025641,0.9834906762916944
Grokipedia oggi vs Wikipedia,controlli appaiati,39,-0.20877364722473102,0.07692307692307693,2.000888343900442e-10
Grokipedia oggi vs Wikipedia,keyword,39,-0.1054034874324571,0.3076923076923077,0.00041266144762630574
Grokipedia v0.1 vs Wikipedia,lettere,39,0.002395339617457304,0.5384615384615384,0.585392383949511
Grokipedia v0.1 vs Wikipedia,parole funzione,39,0.009463454105376745,0.5128205128205128,0.19423144303436857
Grokipedia v0.1 vs Wikipedia,controlli appaiati,39,-0.2520645105244109,0.07692307692307693,6.148184183984995e-10
Grokipedia v0.1 vs Wikipedia,keyword,39,-0.07663538966458182,0.20512820512820512,0.0001376722466375213
Grokipedia oggi vs Grokipedia v0.1,lettere,39,0.0005685988021071342,0.6410256410256411,0.03108793598221382
Grokipedia oggi vs Grokipedia v0.1,parole funzione,39,0.0020827013250540594,0.5641025641025641,0.15827656165492954
Grokipedia oggi vs Grokipedia v0.1,controlli appaiati,39,0.021389210166938122,0.6410256410256411,0.17113355053879786
Grokipedia oggi vs Grokipedia v0.1,keyword,39,-0.004743316377622146,0.48717948717948717,0.7878679301393277
