corpus,titolo,sequenza,tipo,n_eventi,mean_tau,cv_tau,J
wikipedia,Industrial Revolution,vocali,vocali,18093,3.3162171125359277,0.5246157258384266,-0.5979532582060024
wikipedia,Industrial Revolution,spazio,spazio,9332,6.429107276819205,0.47422867083163367,-1.0514935270019703
wikipedia,Industrial Revolution,e,lettera,5532,10.842162357620683,0.8632911857273119,-0.3183216102476537
wikipedia,Industrial Revolution,t,lettera,4044,14.833539450902794,0.8731229733862724,-0.31804797623144376
wikipedia,Industrial Revolution,n,lettera,3915,15.326009197751661,0.8636040278704775,-0.3257940481641333
wikipedia,Industrial Revolution,a,lettera,3831,15.662402088772845,0.8643821304182737,-0.4162184078019182
wikipedia,Industrial Revolution,i,lettera,3662,16.385140671947557,0.8878471477520239,-0.29937596643396974
wikipedia,Industrial Revolution,o,lettera,3619,16.57739082365948,0.9373471366843078,-0.2044887415706262
wikipedia,Industrial Revolution,r,lettera,3128,19.180364566677326,0.8358392317583405,-0.3828987737957681
wikipedia,Industrial Revolution,s,lettera,3013,19.904050464807437,0.8904226870486264,-0.18948589887149236
wikipedia,Industrial Revolution,d,lettera,2164,27.728155339805824,0.8791662244827895,-0.24176070706899375
wikipedia,Industrial Revolution,l,lettera,2044,29.36123348017621,0.9758450976610049,-0.05063208272289236
wikipedia,Industrial Revolution,h,lettera,2025,29.62401185770751,0.9068286330495745,-0.3370007983491509
wikipedia,Industrial Revolution,c,lettera,1790,33.427613191727225,0.9985778004342686,-0.1873218330897563
wikipedia,Industrial Revolution,u,lettera,1449,41.42955801104972,0.9899415409191964,-0.19776390673228955
wikipedia,Industrial Revolution,m,lettera,1222,49.07780507780508,0.977254888989848,-0.1264226016813101
wikipedia,Industrial Revolution,p,lettera,1118,53.572963294538944,1.0543193980482974,0.023506810521794427
wikipedia,Industrial Revolution,w,lettera,1047,57.2208413001912,1.0614561544713064,-0.15891928406590428
wikipedia,Industrial Revolution,f,lettera,1015,59.07297830374753,0.9731864651493802,-0.057931108763264676
wikipedia,Industrial Revolution,g,lettera,954,62.773347324239246,1.0136027646110692,-0.1634451078860807
wikipedia,Industrial Revolution,b,lettera,751,79.82266666666666,1.0138935393590418,-0.12870493311750503
wikipedia,Industrial Revolution,the,funzione,675,88.72255192878339,0.971826744803382,-0.4357497181510812
wikipedia,Industrial Revolution,and,funzione,368,162.6457765667575,0.9440087338295542,-0.42278971268325294
wikipedia,Industrial Revolution,in,funzione,332,180.62839879154077,0.9797989574249744,-0.17531588136743612
wikipedia,Industrial Revolution,of,funzione,331,181.0939393939394,0.9833626968380584,-0.3097023462582865
wikipedia,Industrial Revolution,to,funzione,200,300.4221105527638,0.8572181029823365,-0.28545978424090995
wikipedia,Industrial Revolution,was,funzione,177,336.6931818181818,1.2099018198938953,-0.23700193649832066
wikipedia,Industrial Revolution,iron,keyword,61,891.5333333333333,2.238565882357266,0.2834218268195844
wikipedia,Industrial Revolution,industrial,keyword,59,1023.1551724137931,1.1026618961308408,-0.0608894558763239
wikipedia,Industrial Revolution,cotton,keyword,46,893.8222222222222,4.893399611532834,0.020075909711263537
wikipedia,Industrial Revolution,revolution,keyword,46,1318.7333333333333,1.3107074536214982,0.31648170047070784
wikipedia,Industrial Revolution,century,keyword,47,1276.695652173913,0.9513968312259061,0.019781761283726277
wikipedia,Industrial Revolution,steam,keyword,43,1265.095238095238,1.7400458451285665,0.40728826676690816
wikipedia,Industrial Revolution,first,keyword,38,1603.4864864864865,1.3037026361404767,0.13591817457019856
wikipedia,Industrial Revolution,with,appaiata,62,959.5245901639345,1.12669413071591,-0.0369772598701337
wikipedia,Industrial Revolution,as,appaiata,71,826.2571428571429,1.1749986397853305,0.35293558966792415
wikipedia,Industrial Revolution,from,appaiata,46,1315.0666666666666,1.157438530502181,0.25433707309610426
wikipedia,Industrial Revolution,th,appaiata,47,1276.695652173913,1.0874517301435298,0.08882416717158127
wikipedia,Industrial Revolution,which,appaiata,43,1328.6666666666667,0.9289751476844416,-0.13022551333775617
wikipedia,Industrial Revolution,had,appaiata,38,1602.7567567567567,0.9414844211918251,-0.2381175899141203
wikipedia,Industrial Revolution,it,appaiata,38,1508.5945945945946,0.9928182120461707,0.026622429324843187
wikipedia,Protestantism,vocali,vocali,18658,3.215629522431259,0.4922286199283487,-0.6305475127917477
wikipedia,Protestantism,spazio,spazio,8871,6.762570462232244,0.5204162480710285,-0.9845172563469526
wikipedia,Protestantism,e,lettera,5872,10.218361437574519,0.8272242420128207,-0.3654324767388737
wikipedia,Protestantism,t,lettera,4710,12.740496920789976,0.8222551533320929,-0.41426798981936275
