tipo,corpus,J,J_sd,n,cv
lettera,letterario,-0.17788801268470494,0.009989976494842866,20,0.9495779673039451
lettera,wikipedia,-0.20200595971490606,0.013656839706130087,39,0.9348014548645955
lettera,grok_v01,-0.20147691097341197,0.010644248538707003,39,0.9228630528842066
lettera,grok_oggi,-0.1974961445375634,0.014262398111070659,39,0.9273394069343658
funzione,letterario,-0.18783184045443208,0.05399625872823179,20,1.1919760256632994
funzione,wikipedia,-0.2874333817220865,0.0329584718171286,39,1.0330090950120443
funzione,grok_v01,-0.29970390119777407,0.03908433925415514,39,0.9673725826116194
funzione,grok_oggi,-0.28974669857906105,0.04393839663831227,39,0.9787038419330315
appaiata,letterario,0.18631415005463667,0.11400574841640909,20,1.2619466885147745
appaiata,wikipedia,0.053235622042055064,0.0769150370599395,39,1.1902660391889357
appaiata,grok_v01,-0.2120122781050941,0.19926490709837416,39,1.0400451605828793
appaiata,grok_oggi,-0.1650956466870649,0.1294202139498893,39,1.0554380705916966
keyword,letterario,0.061433699123731644,0.10245696785001657,20,1.7892790705117725
keyword,wikipedia,0.09194144922344696,0.0943950846666319,39,1.5364548262959952
keyword,grok_v01,-0.0010464708254384403,0.16789617950294164,39,1.3839330967487895
keyword,grok_oggi,-0.0114784877568541,0.1678559466343767,39,1.3789367717077563
