n,mediana_diff,p,vince_c1,corpus_1,corpus_2,tipo,metrica
39,-0.009571351644988457,0.00012861097275163047,0.2564102564102564,grok_oggi,wikipedia,lettera,cv_tau
39,-0.060844959304871216,2.7721398510038853e-09,0.07692307692307693,grok_oggi,wikipedia,lettera,gamma
39,-0.036723737178124494,0.0018188090652984101,0.3076923076923077,grok_oggi,wikipedia,funzione,cv_tau
39,-0.04560205738284706,1.4542820281349123e-07,0.15384615384615385,grok_oggi,wikipedia,funzione,gamma
39,-0.12208134072799137,0.00038801216942374595,0.23076923076923078,grok_oggi,wikipedia,appaiata,cv_tau
39,-0.06070062657749831,1.6373451217077672e-07,0.15384615384615385,grok_oggi,wikipedia,appaiata,gamma
39,-0.2295423927051592,1.2818745744880289e-06,0.15384615384615385,grok_oggi,wikipedia,keyword,cv_tau
39,-0.11792744381351716,1.4542820281349123e-07,0.15384615384615385,grok_oggi,wikipedia,keyword,gamma
39,-0.012470042202430975,1.3496901374310255e-09,0.1282051282051282,grok_v01,wikipedia,lettera,cv_tau
39,-0.07073548648996741,3.637978807091713e-11,0.05128205128205128,grok_v01,wikipedia,lettera,gamma
39,-0.03937203061094641,6.83826110616792e-05,0.3076923076923077,grok_v01,wikipedia,funzione,cv_tau
39,-0.03787640722468333,5.3809344535693526e-08,0.07692307692307693,grok_v01,wikipedia,funzione,gamma
39,-0.09703681629237926,4.740785152534954e-05,0.23076923076923078,grok_v01,wikipedia,appaiata,cv_tau
39,-0.07724296888643711,2.546585164964199e-11,0.05128205128205128,grok_v01,wikipedia,appaiata,gamma
39,-0.22037999498475203,1.723052264424041e-06,0.15384615384615385,grok_v01,wikipedia,keyword,cv_tau
39,-0.10747821484620634,1.949956640601158e-09,0.07692307692307693,grok_v01,wikipedia,keyword,gamma
39,-0.0004926798760055418,0.5571619422771619,0.41025641025641024,grok_oggi,grok_v01,lettera,cv_tau
39,-0.0015099826364735058,0.585392383949511,0.48717948717948717,grok_oggi,grok_v01,lettera,gamma
39,0.0074246475678638735,0.003198460726707708,0.717948717948718,grok_oggi,grok_v01,funzione,cv_tau
39,0.0009560044627197062,0.18011900745113962,0.5897435897435898,grok_oggi,grok_v01,funzione,gamma
39,0.025021076821564625,0.6338295602654398,0.5641025641025641,grok_oggi,grok_v01,appaiata,cv_tau
39,0.021741382087354877,0.028879327754111728,0.5897435897435898,grok_oggi,grok_v01,appaiata,gamma
39,-0.014006814130508971,0.044357797647535335,0.3333333333333333,grok_oggi,grok_v01,keyword,cv_tau
39,-0.0012414057961565028,0.7666987905977294,0.4358974358974359,grok_oggi,grok_v01,keyword,gamma
