corpus,tipo,n_doc,cv,cv_sd,gamma,gamma_sd
letterario,lettera,20,0.9495779673039447,0.009653661109604496,1.1517454108962477,0.03152011885216053
letterario,funzione,20,1.191976025663299,0.20184538532169705,1.2036138867947346,0.053268147479713396
letterario,appaiata,20,1.2619466885147745,0.1508502855493021,1.1109775625836504,0.03752400403547216
letterario,keyword,20,1.7892790705117725,0.3350477078117461,1.3240987469400172,0.05177663410660077
wikipedia,lettera,39,0.9348015341455271,0.010055279455535094,1.1492054246105208,0.03739779136891597
wikipedia,funzione,39,1.0330090950120443,0.08422590155894498,1.138807266802454,0.04799971479012475
wikipedia,appaiata,39,1.1891878943352814,0.14050329750548526,1.0935013136254887,0.04196316562492304
wikipedia,keyword,39,1.5304516094314167,0.1969390390605222,1.223290366578072,0.06343015731547379
grok_v01,lettera,39,0.9224150838814743,0.007881050022575385,1.0856746162822764,0.02227084083986165
grok_v01,funzione,39,0.9669474960368046,0.043364275134497914,1.0817470592102854,0.040516616014235715
grok_v01,appaiata,39,1.0484719025624631,0.13229006678466326,1.0103182323725737,0.0497272188905552
grok_v01,keyword,39,1.3036805619380278,0.25546170529600953,1.1188643676247965,0.0816328804212153
grok_oggi,lettera,39,0.9273394069343658,0.019076484148778283,1.0903665830896674,0.02750582482848119
grok_oggi,funzione,39,0.9787038419330315,0.04763047720423606,1.0881130668374315,0.042741493559023444
grok_oggi,appaiata,39,1.06685072682567,0.13806084059002907,1.0315578352234367,0.04791370787649925
grok_oggi,keyword,39,1.2886426848584587,0.2503443852101773,1.1242603668760165,0.09087288988778625
