corpus,tipo,gamma,gamma_sd,p_vs_1,gamma_A1,n_doc
letterario,lettera,1.1517454108962477,0.03152011885216053,8.304997366629834e-15,0.9858548039376338,20
letterario,funzione,1.2036138867947346,0.053268147479713396,5.410231371229988e-13,0.9844927451277142,20
letterario,appaiata,1.1109775625836504,0.03752400403547216,4.924931967687452e-11,0.9879289079626142,20
letterario,keyword,1.3240987469400172,0.05177663410660077,6.557837772875844e-17,0.9782618280693116,20
wikipedia,lettera,1.1492054246105208,0.03739779136891597,3.8122000601877686e-25,0.9832258697974308,39
wikipedia,funzione,1.138807266802454,0.04799971479012475,3.044568870648618e-20,0.9807976898235164,39
wikipedia,appaiata,1.0935013136254887,0.04196316562492304,1.7018765906229878e-16,0.9853802099088212,39
wikipedia,keyword,1.223290366578072,0.06343015731547379,3.2814484826489295e-23,0.9837195698090071,39
grok_v01,lettera,1.0856746162822764,0.02227084083986165,1.404264769764071e-24,0.9832017548343412,39
grok_v01,funzione,1.0817470592102854,0.040516616014235715,3.839657881055825e-15,0.9829246855467071,39
grok_v01,appaiata,1.0103182323725737,0.0497272188905552,0.20285474796759811,0.9835554032111375,39
grok_v01,keyword,1.1188643676247965,0.0816328804212153,4.474808765347147e-11,0.9868630593604383,39
grok_oggi,lettera,1.0903665830896674,0.02750582482848119,3.709555628295742e-22,0.9834059969366036,39
grok_oggi,funzione,1.0881130668374315,0.042741493559023444,1.9711065498238285e-15,0.9803082541966515,39
grok_oggi,appaiata,1.0315578352234367,0.04791370787649925,0.00020153618623867448,0.9832931484732966,39
grok_oggi,keyword,1.1242603668760165,0.09087288988778625,2.2661915346576166e-10,0.9815733902527664,39
