corpus,tipo,gamma,gamma_A2,q,q_lo,q_hi,n
letterario,lettera,1.1517454108962477,0.9904103944364051,-0.07167404256004237,-0.1326768976420024,-0.013807070249467859,20
letterario,funzione,1.2036138867947346,1.0789497865559372,0.34759687642832177,0.2529061469581123,0.45040007456433157,20
letterario,appaiata,1.1109775625836504,1.0932229274054879,0.831499709402128,0.7507262250473293,0.9326617751105155,19
letterario,keyword,1.3240987469400172,1.288207606204804,0.8912385084159118,0.8450375332295499,0.932971361121586,20
wikipedia,lettera,1.1492054246105208,0.9891774259820838,-0.06279839229935608,-0.1160001811414377,-0.025732702366698154,39
wikipedia,funzione,1.138807266802454,1.0338214122832987,0.23966261218634538,0.10552121935523637,0.3206594037055395,38
wikipedia,appaiata,1.0935013136254887,1.0692579640006823,0.7637848732100174,0.6322599190488971,0.8556933690588813,34
wikipedia,keyword,1.223290366578072,1.1720298393638382,0.7707264572587351,0.7112828135348694,0.8284892860670563,38
grok_v01,lettera,1.0856746162822764,0.9829305282260862,-0.18664211515748771,-0.28764338235488995,-0.12780505177234577,38
grok_v01,funzione,1.0817470592102854,1.0040452005078686,0.03821664957191844,-0.006606313741684303,0.2119651005873403,28
grok_v01,appaiata,1.0103182323725737,0.9944621052500181,0.5090492826175584,0.41160083324754304,0.5978418774797517,7
grok_v01,keyword,1.1188643676247965,1.0780861207378147,0.6691354738562629,0.5482251404912418,0.7666935440509406,32
grok_oggi,lettera,1.0903665830896674,0.9864676051278639,-0.15169812813948078,-0.22009569676963595,-0.06847858761421498,37
grok_oggi,funzione,1.0881130668374315,1.007877581777046,0.1403780185164128,-0.04559970280217887,0.26552087260962787,31
grok_oggi,appaiata,1.0315578352234367,1.0086650619604194,0.5627035095931026,0.40175476390124043,0.7850977800407387,10
grok_oggi,keyword,1.1242603668760165,1.0851817593198463,0.6922234546620183,0.5830825418378689,0.8157555732861921,33
