sequenza,livello,n_eventi,n_chars,frequenza,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A2,tipo,corpus,titolo
vocali,vc,18208,60000,0.30346666666666666,1.1192180176511464,0.02444884826369251,0.9750204459420122,True,3.2953259735266656,1.651118087621192,0.5010484853048275,-0.3324019973904088,1.0110512276083665,0.9716270154878427,vocali,wikipedia,Adolf Hitler
spazio,lettere,9425,60000,0.15708333333333332,1.041962386382862,0.005124687452519354,1.0669121779632427,True,6.3657682512733444,3.056304157167729,0.48011552361435345,-0.35124587783264366,0.9735526151199837,0.9776779139131024,spazio,wikipedia,Adolf Hitler
e,lettere,5944,60000,0.09906666666666666,1.2104664985417646,0.005599460755999899,1.2332798858906564,True,10.093891973750631,8.394649851283607,0.8316563990494511,-0.0919078496588726,0.9659267636646888,0.9679605659603171,lettera,wikipedia,Adolf Hitler
t,lettere,4109,60000,0.06848333333333333,1.148640503403045,0.006096016417984667,1.1155696113869606,True,14.60223953261928,12.561589776584551,0.8602509052480468,-0.0751237880641262,1.0053467262639684,0.9429209348523733,lettera,wikipedia,Adolf Hitler
a,lettere,4093,60000,0.06821666666666666,0.9818311572943816,0.002646346719330875,0.9960484895245838,True,14.652737047898338,11.868046813243756,0.80995426140852,-0.10500029898191182,0.9574056561714431,1.0346996494880292,lettera,wikipedia,Adolf Hitler
i,lettere,3879,60000,0.06465,1.0524104116168314,0.00435711865833001,1.0751469193733094,True,15.465188241361526,13.811890751511742,0.8930955469763987,-0.05647071178966439,0.9429283474880279,0.9279219833177118,lettera,wikipedia,Adolf Hitler
n,lettere,3636,60000,0.0606,1.3071786656785105,0.015680163821895885,1.2140855882865564,True,16.48748280605227,14.708375785091425,0.8920934722486706,-0.0570302309764259,0.9646853077988314,0.9922416918350273,lettera,wikipedia,Adolf Hitler
r,lettere,3509,60000,0.05848333333333333,0.9682858178737278,0.006755990101905359,0.998715706919417,True,17.09321550741163,14.67424550662783,0.8584836188524662,-0.07614615469945017,1.023567995823532,0.9122795585511158,lettera,wikipedia,Adolf Hitler
o,lettere,3195,60000,0.05325,1.142439951370111,0.007678921654282072,1.1110335276522554,True,18.781152160300564,16.664727132412363,0.8873112251141928,-0.05970863384177078,0.9133940591991662,0.9771416741508316,lettera,wikipedia,Adolf Hitler
s,lettere,2803,60000,0.04671666666666666,1.1315995485161474,0.005314048295380669,1.1592872845042295,True,21.396145610278374,20.051667271364508,0.9371625916460393,-0.03243785969486781,1.0005319421958692,1.0462576432019561,lettera,wikipedia,Adolf Hitler
h,lettere,2397,60000,0.03995,1.1642165233876935,0.004288218682550565,1.1769375415988428,True,25.03297161936561,21.17837944324826,0.8460193925544413,-0.08341223719892082,1.0330458417474946,0.9996302158432644,lettera,wikipedia,Adolf Hitler
l,lettere,2115,60000,0.03525,1.0232179308102167,0.006876020008313392,0.9793289027125243,True,28.37701040681173,27.797017298765883,0.979561162372953,-0.01032493363455687,0.9655494533677235,1.0333969774425638,lettera,wikipedia,Adolf Hitler
d,lettere,1893,60000,0.03155,1.197576877119947,0.007882850628898291,1.1529237170187576,True,31.710359408033828,28.296863218082454,0.892353910404227,-0.05688475554383941,0.9729426826738795,0.9132013668443791,lettera,wikipedia,Adolf Hitler
c,lettere,1487,60000,0.024783333333333334,1.1171446871692918,0.016132328875242977,1.0237755032146358,True,40.31493943472409,38.180579338400015,0.9470578369643858,-0.02719085279878234,1.0129089121504495,0.9453008602985227,lettera,wikipedia,Adolf Hitler
m,lettere,1368,60000,0.0228,0.9779673320633694,0.00451362197053798,1.0056478326383984,True,43.83321141185077,43.96314818562077,1.0029643452894457,0.0014799790602450012,1.01210121019698,0.9623975649319257,lettera,wikipedia,Adolf Hitler
u,lettere,1097,60000,0.018283333333333332,1.0235432358993268,0.01030256318214909,1.0051737115815926,True,54.675182481751825,53.76667302168279,0.9833835129791793,-0.008377848717649978,0.9185701183867868,1.0070741424755776,lettera,wikipedia,Adolf Hitler
p,lettere,1093,60000,0.018216666666666666,1.2496193571078447,0.008459744966526933,1.2014119274876938,True,54.92032967032967,58.21848028765402,1.0600533652496655,0.02915136387371565,0.9832933567367562,1.030160822869121,lettera,wikipedia,Adolf Hitler
f,lettere,1070,60000,0.017833333333333333,1.1235943342149621,0.007575324323967281,1.0879821375710306,True,56.03180542563143,56.159908449495695,1.0022862555095478,0.0011418225057765452,0.9794197405173083,1.0134024032951627,lettera,wikipedia,Adolf Hitler
g,lettere,1048,60000,0.017466666666666665,1.0819688502055904,0.004127862559336932,1.0607729333970572,True,57.185291308500474,55.35786627908789,0.9680437925977489,-0.016237548941972484,1.0017727366139513,1.035963973071359,lettera,wikipedia,Adolf Hitler
w,lettere,721,60000,0.012016666666666667,1.1328135362374503,0.007227816957609089,1.0953018406682131,True,83.22638888888889,79.70903361472226,0.9577374998347884,-0.02158741923714395,0.9902904593271736,0.9192139724825584,lettera,wikipedia,Adolf Hitler
y,lettere,703,60000,0.011716666666666667,1.0684634575462322,0.006007636537044829,1.0455179076578867,True,85.12250712250712,81.57682344412912,0.9583461084707585,-0.021269933516383555,1.039047467790372,1.0202906886939491,lettera,wikipedia,Adolf Hitler
the,parole,704,60000,0.011733333333333333,1.188678551600419,0.005417659406303437,1.166952054217239,True,85.16073968705548,81.86084395284145,0.9612509737897965,-0.019757301196046,1.0282280118080258,1.0159554099510881,funzione,wikipedia,Adolf Hitler
of,parole,359,60000,0.0059833333333333336,1.1369598373752545,0.006912544158347357,1.1104243069309758,True,166.74022346368716,163.7811688280891,0.9822535044386427,-0.008952687192440087,0.9495720760721058,1.0032199053473703,funzione,wikipedia,Adolf Hitler
in,parole,295,60000,0.004916666666666666,1.0322878760954752,0.005124632640185833,1.0183054498049682,True,203.6326530612245,198.94965084607924,0.9770026950749532,-0.011632409496626885,0.9742522305978693,1.0164095006202272,funzione,wikipedia,Adolf Hitler
and,parole,284,60000,0.004733333333333333,1.0178706672722682,0.009535009645109584,0.9572842903045766,True,210.82332155477033,185.22584610173996,0.8785832835558455,-0.06463206476229946,0.9613036895443416,0.9862775228117545,funzione,wikipedia,Adolf Hitler
to,parole,259,60000,0.004316666666666667,1.1002722951741384,0.014458698937827781,1.0047168762500178,True,230.30232558139534,218.64971558835003,0.9494029859940475,-0.025955133119975146,0.8920232022143878,1.01830041249092,funzione,wikipedia,Adolf Hitler
on,parole,124,60000,0.0020666666666666667,1.0378264075613899,0.00647381224181803,0.9984416808121122,True,482.6747967479675,460.42066467302504,0.953894149384057,-0.023596902949157898,0.9247547306492754,0.9021595825605438,funzione,wikipedia,Adolf Hitler
hitler,parole,233,60000,0.0038833333333333333,0.9518177376213843,0.019961692625181954,0.8171942316247311,True,258.37068965517244,193.4967601627007,0.7489114203354336,-0.14356849451895556,1.057949840387378,0.9725902292266374,keyword,wikipedia,Adolf Hitler
party,parole,68,60000,0.0011333333333333334,1.4636649951445366,0.006524865502916247,1.4295934300516864,True,699.820895522388,2076.9514440084736,2.967832851658585,0.4959465091469303,1.0239201405137868,1.4147488087096223,keyword,wikipedia,Adolf Hitler
german,parole,70,60000,0.0011666666666666668,1.211654111410168,0.008340222879212189,1.1651366414953612,True,866.695652173913,1071.60499889525,1.2364259543789882,0.1057159768317208,1.010095376287986,1.091129808794303,keyword,wikipedia,Adolf Hitler
germany,parole,55,60000,0.0009166666666666666,1.1198971294240285,0.0032678099878847068,1.0988609704770758,True,1095.4814814814815,1555.4306051943051,1.4198602454610263,0.1735059891365898,1.0332319428999586,1.1399587849432125,keyword,wikipedia,Adolf Hitler
hitler's,parole,45,60000,0.00075,1.067271574195856,0.008882218595073158,1.0457239915345318,True,1303.1818181818182,1366.5833524511477,1.0486513342841035,0.02374798164525375,0.9998509638059669,1.0512806676509856,keyword,wikipedia,Adolf Hitler
nazi,parole,35,60000,0.0005833333333333334,1.239198717464957,0.027029046088166076,1.0504510033780152,True,1148.3823529411766,2040.3075973490752,1.7766796852316187,0.2797152618512536,0.9047585092477056,1.240774330293494,keyword,wikipedia,Adolf Hitler
political,parole,24,60000,0.0004,1.2073391062456336,0.004064446981160059,1.2041917514198694,True,1877.9130434782608,2338.2843149517566,1.2451504733258567,0.1091911104571547,0.9936101031171433,1.2598501925846464,keyword,wikipedia,Adolf Hitler
his,parole,123,60000,0.00205,1.2242661661810943,0.011026778349385369,1.2080032338314746,True,480.71311475409834,661.9853120578287,1.3770901848526795,0.1586352033488581,1.0105454575013695,1.1315601244774869,appaiata,wikipedia,Adolf Hitler
with,parole,60,60000,0.001,1.0039586045815685,0.006041514458891672,0.9754918301750671,True,973.1864406779661,1098.686166394557,1.1289575362652629,0.06057308991305079,1.0135926794521284,1.037678565909344,appaiata,wikipedia,Adolf Hitler
by,parole,71,60000,0.0011833333333333333,0.9218557986093283,0.008096652203436241,0.886241953991902,True,829.6571428571428,677.4018113931162,0.8164840346703998,-0.10102811906238372,0.9424392023144893,0.8927099471573886,appaiata,wikipedia,Adolf Hitler
from,parole,47,60000,0.0007833333333333334,0.9787602060397752,0.0064633681306061445,1.0055366156244026,True,1288.7608695652175,1333.0550573739772,1.0343695939679662,0.016894468964673046,1.046091738867297,0.9513692575080119,appaiata,wikipedia,Adolf Hitler
were,parole,47,60000,0.0007833333333333334,1.172750953323468,0.003598140849342589,1.1576551540529827,True,1215.8695652173913,1663.1859735485673,1.3678983512110512,0.15536914877401356,1.039532630241767,1.0490108531069504,appaiata,wikipedia,Adolf Hitler
had,parole,34,60000,0.0005666666666666667,1.0219198558046925,0.009408824722834537,1.0715478270254597,True,1583.2424242424242,1652.0244404650737,1.0434437677827901,0.021260075010494702,1.0234750062475924,1.070539810526661,appaiata,wikipedia,Adolf Hitler
this,parole,25,60000,0.0004166666666666667,1.036967821990533,0.010205952020841286,0.9851360084746517,True,2169.9166666666665,1929.3675223326127,0.8891436025957737,-0.05868076796909679,0.954864433599032,1.073948120346225,appaiata,wikipedia,Adolf Hitler
vocali,vc,18633,60000,0.31055,1.0743504651789548,0.007117493866608504,1.0300999628757657,True,3.2202125375697723,1.6004713887205217,0.4970079987106579,-0.33599820556908094,0.9855436374321109,0.9439914564221378,vocali,wikipedia,Albert Einstein
spazio,lettere,9577,60000,0.15961666666666666,1.319958418813542,0.014421027689696319,1.2263721062134039,True,6.264202172096909,3.160916159365401,0.5045999590251572,-0.32925698156725763,1.049028173197011,0.9247004593743459,spazio,wikipedia,Albert Einstein
e,lettere,6105,60000,0.10175,0.9710096283403951,0.022582186031258538,1.0649236065202698,True,9.827653997378768,8.294875735142279,0.8440341649547988,-0.08457860380749738,0.9664613000960421,0.9380096151529728,lettera,wikipedia,Albert Einstein
t,lettere,4358,60000,0.07263333333333333,1.2056325966171793,0.007167160581190141,1.1549579277393989,True,13.76566444801469,12.049501353770752,0.8753301665368253,-0.06647887166098476,0.9929869162210846,0.9259688495640835,lettera,wikipedia,Albert Einstein
i,lettere,4357,60000,0.07261666666666666,0.9363492989914803,0.011479034034846512,0.9503066834274707,True,13.771808999081726,11.776791067197946,0.855137554404305,-0.07808717216239588,0.9580820189750465,0.9358589519074751,lettera,wikipedia,Albert Einstein
a,lettere,3821,60000,0.06368333333333333,1.1302079094225967,0.012422995929072074,1.0531957730907902,True,15.7065445026178,13.293276137409423,0.8463526866265104,-0.08321666520507529,1.0430442936377267,0.9456604924720834,lettera,wikipedia,Albert Einstein
n,lettere,3745,60000,0.06241666666666667,1.0074499551091494,0.011173870834163857,0.9755061078401109,True,16.021634615384617,13.656713008798633,0.8523919897464712,-0.07968508343297859,0.9778037371258211,0.9678129537453576,lettera,wikipedia,Albert Einstein
o,lettere,3188,60000,0.05313333333333333,1.0133527389066703,0.007213470555257674,1.045494318179774,True,18.802321932852212,16.57117145588974,0.8813364389286351,-0.06307407788207212,0.9461715875903748,0.9954753526036458,lettera,wikipedia,Albert Einstein
s,lettere,3064,60000,0.05106666666666667,1.0784259745429394,0.010533249260564856,1.0507925520194406,True,19.577864838393733,18.283484883253887,0.9338855403372964,-0.03418736956437056,0.9566063868193598,0.9858519583348843,lettera,wikipedia,Albert Einstein
r,lettere,2869,60000,0.04781666666666667,1.0288107161230524,0.006591321643978704,1.0488553896467796,True,20.918061366806135,17.646884634228115,0.843619507792013,-0.08482254149896365,1.0427010692150367,1.0132930402420914,lettera,wikipedia,Albert Einstein
h,lettere,2574,60000,0.0429,1.2026898400525163,0.016033827575860003,1.1011408254636383,True,23.301982122036534,20.62173542561126,0.8849777378427142,-0.06102048838461324,1.014321181663859,1.0317435653348328,lettera,wikipedia,Albert Einstein
l,lettere,1938,60000,0.0323,0.9203305056185103,0.00763636319426777,0.9580948428742392,True,30.96850800206505,29.483668604048766,0.952053247191719,-0.024562215645120625,1.0098728095394938,0.9567538244279357,lettera,wikipedia,Albert Einstein
d,lettere,1792,60000,0.029866666666666666,1.2388698434296133,0.01729959995244403,1.1253177241465486,True,33.43662758235622,31.34773928418737,0.9375269442761891,-0.032243709388593444,1.0053739717421128,1.0376149951349003,lettera,wikipedia,Albert Einstein
