n,mediana_diff,p,vince_c1,corpus_1,corpus_2,tipo,metrica
39,-0.009571351644988457,0.00012861097275163047,0.2564102564102564,grok_oggi,wikipedia,lettera,cv_tau
39,-0.060844959304870994,2.7721398510038853e-09,0.07692307692307693,grok_oggi,wikipedia,lettera,gamma
39,-0.036723737178124494,0.0018188090652984101,0.3076923076923077,grok_oggi,wikipedia,funzione,cv_tau
39,-0.04560205738284706,1.4542820281349123e-07,0.15384615384615385,grok_oggi,wikipedia,funzione,gamma
39,-0.15673518558962785,0.00034267283263034187,0.2564102564102564,grok_oggi,wikipedia,appaiata,cv_tau
39,-0.06623451302266958,3.621244104579091e-08,0.07692307692307693,grok_oggi,wikipedia,appaiata,gamma
39,-0.16664282290610055,0.000249561282544164,0.2564102564102564,grok_oggi,wikipedia,keyword,cv_tau
39,-0.048611288863029456,8.473593697999604e-05,0.20512820512820512,grok_oggi,wikipedia,keyword,gamma
39,-0.012470042202430975,1.3496901374310255e-09,0.1282051282051282,grok_v01,wikipedia,lettera,cv_tau
39,-0.07073548648996741,3.637978807091713e-11,0.05128205128205128,grok_v01,wikipedia,lettera,gamma
39,-0.03937203061094641,6.83826110616792e-05,0.3076923076923077,grok_v01,wikipedia,funzione,cv_tau
39,-0.037876407224683106,5.3809344535693526e-08,0.07692307692307693,grok_v01,wikipedia,funzione,gamma
39,-0.11593690375607357,8.473593697999604e-05,0.20512820512820512,grok_v01,wikipedia,appaiata,cv_tau
39,-0.09126594908548036,7.530616130679846e-10,0.07692307692307693,grok_v01,wikipedia,appaiata,gamma
39,-0.13269532676462203,0.00012861097275163047,0.23076923076923078,grok_v01,wikipedia,keyword,cv_tau
39,-0.07171210149211427,5.047659215051681e-07,0.15384615384615385,grok_v01,wikipedia,keyword,gamma
39,-0.0004926798760055418,0.5571619422771619,0.41025641025641024,grok_oggi,grok_v01,lettera,cv_tau
39,-0.0015099826364735058,0.585392383949511,0.48717948717948717,grok_oggi,grok_v01,lettera,gamma
39,0.0074246475678638735,0.003198460726707708,0.717948717948718,grok_oggi,grok_v01,funzione,cv_tau
39,0.0009560044627194841,0.18011900745113962,0.5897435897435898,grok_oggi,grok_v01,funzione,gamma
39,-0.0003273105553684985,0.961490181813133,0.46153846153846156,grok_oggi,grok_v01,appaiata,cv_tau
39,0.0055513988661012315,0.20406957184968633,0.5641025641025641,grok_oggi,grok_v01,appaiata,gamma
39,-0.01623753449204779,0.39491474161695805,0.4358974358974359,grok_oggi,grok_v01,keyword,cv_tau
39,0.003335515009386114,0.289213247175212,0.5384615384615384,grok_oggi,grok_v01,keyword,gamma
