corpus,tipo,gamma,gamma_sd,p_vs_1,gamma_A1,n_doc
letterario,lettera,1.151745410896248,0.03152011885216052,8.30499736662962e-15,0.9858548039376339,20
letterario,funzione,1.2036138867947348,0.053268147479713396,5.410231371229895e-13,0.9844927451277142,20
letterario,appaiata,1.1109775625836504,0.037524004035472174,4.9249319676875077e-11,0.9879289079626142,20
letterario,keyword,1.3240987469400172,0.05177663410660075,6.557837772875775e-17,0.9782618280693118,20
wikipedia,lettera,1.149205424610521,0.03739779136891597,3.8122000601875505e-25,0.9832258697974309,39
wikipedia,funzione,1.138807266802454,0.04799971479012478,3.044568870648713e-20,0.9807976898235164,39
wikipedia,appaiata,1.091712075373731,0.04184836472601895,2.885283109667129e-16,0.9864243122581962,39
wikipedia,keyword,1.2257924840940833,0.0629584763591129,1.6999623758972566e-23,0.9852132363483551,39
grok_v01,lettera,1.0856746162822764,0.022270840839861663,1.4042647697641075e-24,0.9832017548343412,39
grok_v01,funzione,1.0817470592102854,0.04051661601423567,3.839657881055707e-15,0.9829246855467073,39
grok_v01,appaiata,1.0070235285155038,0.05102087567626665,0.39535352185952427,0.985877735235366,39
grok_v01,keyword,1.1532390936343773,0.0691111390603808,1.9897547610599495e-16,0.9852803261479587,39
grok_oggi,lettera,1.0903665830896678,0.02750582482848119,3.7095556282950745e-22,0.9834059969366036,39
grok_oggi,funzione,1.0881130668374315,0.04274149355902344,1.971106549823821e-15,0.9803082541966515,39
grok_oggi,appaiata,1.0186243526843333,0.04246077394120267,0.009325579593131086,0.9793656323829123,39
grok_oggi,keyword,1.1664196301163254,0.08332597864661165,5.2504616910176016e-15,0.9834193168560603,39
