corpus,tipo,gamma,gamma_A2,q,q_lo,q_hi,n
letterario,lettera,1.151745410896248,0.9904103944364051,-0.0716740425600417,-0.13267689764200222,-0.013807070249466813,20
letterario,funzione,1.2036138867947348,1.0789497865559372,0.34759687642832215,0.25290614695811253,0.4504000745643318,20
letterario,appaiata,1.1109775625836504,1.0932229274054879,0.831499709402128,0.7507262250473314,0.9326617751105163,19
letterario,keyword,1.3240987469400172,1.288207606204804,0.8912385084159125,0.8450375332295506,0.9329713611215861,20
wikipedia,lettera,1.149205424610521,0.989177425982084,-0.06279839229935598,-0.11600018114143706,-0.02573270236669753,39
wikipedia,funzione,1.138807266802454,1.0338214122832987,0.23966261218634602,0.10552121935523602,0.32065940370554014,38
wikipedia,appaiata,1.091712075373731,1.0681018783313327,0.7434715230110666,0.632259919048898,0.8667028280965544,34
wikipedia,keyword,1.2257924840940833,1.1743915772218727,0.7668078714138606,0.7112828135348692,0.8304491583703891,38
grok_v01,lettera,1.0856746162822764,0.9829305282260862,-0.18664211515748685,-0.28764338235488646,-0.12780505177234408,38
grok_v01,funzione,1.0817470592102854,1.0040452005078686,0.038216649571918476,-0.006606313741684303,0.21196510058734047,28
grok_v01,appaiata,1.0070235285155038,0.9933117824905628,0.6510880856915802,0.503686475609044,0.7260805457218746,6
grok_v01,keyword,1.1532390936343773,1.1098488447564843,0.7016394369784595,0.6160979954458221,0.7901096069290947,37
grok_oggi,lettera,1.0903665830896678,0.9864676051278639,-0.15169812813948044,-0.2200956967696347,-0.06847858761421483,37
grok_oggi,funzione,1.0881130668374315,1.007877581777046,0.14037801851641538,-0.04559970280217771,0.2655208726096293,31
grok_oggi,appaiata,1.0186243526843333,1.004563489548682,0.705388590164312,0.628062620241425,0.8905430571520486,8
grok_oggi,keyword,1.1664196301163254,1.121047691132058,0.7349282180065263,0.5903154859670235,0.8496352504933629,37
