sequenza,livello,n_eventi,n_chars,frequenza,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A2,tipo,corpus,titolo
vocali,vc,18208,60000,0.30346666666666666,1.1192180176511464,0.024448848263692535,0.9750204459420123,True,3.2953259735266656,1.651118087621192,0.5010484853048275,-0.3324019973904088,1.011051227608367,0.9716270154878428,vocali,wikipedia,Adolf Hitler
spazio,lettere,9425,60000,0.15708333333333332,1.0419623863828624,0.005124687452519366,1.0669121779632427,True,6.3657682512733444,3.056304157167729,0.48011552361435345,-0.35124587783264366,0.973552615119984,0.9776779139131025,spazio,wikipedia,Adolf Hitler
e,lettere,5944,60000,0.09906666666666666,1.2104664985417648,0.005599460755999908,1.2332798858906566,True,10.093891973750631,8.394649851283607,0.8316563990494511,-0.0919078496588726,0.9659267636646889,0.9679605659603171,lettera,wikipedia,Adolf Hitler
t,lettere,4109,60000,0.06848333333333333,1.1486405034030456,0.0060960164179846565,1.1155696113869604,True,14.60223953261928,12.561589776584551,0.8602509052480468,-0.0751237880641262,1.0053467262639681,0.9429209348523736,lettera,wikipedia,Adolf Hitler
a,lettere,4093,60000,0.06821666666666666,0.9818311572943819,0.0026463467193308765,0.9960484895245839,True,14.652737047898338,11.868046813243756,0.80995426140852,-0.10500029898191182,0.9574056561714435,1.0346996494880294,lettera,wikipedia,Adolf Hitler
i,lettere,3879,60000,0.06465,1.0524104116168316,0.0043571186583300165,1.0751469193733094,True,15.465188241361526,13.811890751511742,0.8930955469763987,-0.05647071178966439,0.9429283474880282,0.9279219833177118,lettera,wikipedia,Adolf Hitler
n,lettere,3636,60000,0.0606,1.307178665678511,0.015680163821895913,1.214085588286556,True,16.48748280605227,14.708375785091425,0.8920934722486706,-0.0570302309764259,0.9646853077988317,0.9922416918350274,lettera,wikipedia,Adolf Hitler
r,lettere,3509,60000,0.05848333333333333,0.9682858178737276,0.0067559901019054154,0.9987157069194171,True,17.09321550741163,14.67424550662783,0.8584836188524662,-0.07614615469945017,1.023567995823532,0.9122795585511159,lettera,wikipedia,Adolf Hitler
o,lettere,3195,60000,0.05325,1.1424399513701111,0.007678921654281975,1.1110335276522552,True,18.781152160300564,16.664727132412363,0.8873112251141928,-0.05970863384177078,0.9133940591991663,0.9771416741508318,lettera,wikipedia,Adolf Hitler
s,lettere,2803,60000,0.04671666666666666,1.1315995485161476,0.005314048295380664,1.1592872845042297,True,21.396145610278374,20.051667271364508,0.9371625916460393,-0.03243785969486781,1.0005319421958692,1.0462576432019564,lettera,wikipedia,Adolf Hitler
h,lettere,2397,60000,0.03995,1.1642165233876938,0.004288218682550583,1.1769375415988426,True,25.03297161936561,21.17837944324826,0.8460193925544413,-0.08341223719892082,1.0330458417474946,0.9996302158432645,lettera,wikipedia,Adolf Hitler
l,lettere,2115,60000,0.03525,1.023217930810217,0.006876020008313382,0.9793289027125243,True,28.37701040681173,27.797017298765883,0.979561162372953,-0.01032493363455687,0.9655494533677232,1.0333969774425638,lettera,wikipedia,Adolf Hitler
d,lettere,1893,60000,0.03155,1.1975768771199473,0.00788285062889829,1.1529237170187576,True,31.710359408033828,28.296863218082454,0.892353910404227,-0.05688475554383941,0.9729426826738798,0.9132013668443791,lettera,wikipedia,Adolf Hitler
c,lettere,1487,60000,0.024783333333333334,1.117144687169292,0.016132328875242952,1.0237755032146356,True,40.31493943472409,38.180579338400015,0.9470578369643858,-0.02719085279878234,1.0129089121504495,0.9453008602985227,lettera,wikipedia,Adolf Hitler
m,lettere,1368,60000,0.0228,0.9779673320633696,0.004513621970537974,1.0056478326383986,True,43.83321141185077,43.96314818562077,1.0029643452894457,0.0014799790602450012,1.0121012101969802,0.962397564931926,lettera,wikipedia,Adolf Hitler
u,lettere,1097,60000,0.018283333333333332,1.0235432358993268,0.01030256318214909,1.0051737115815924,True,54.675182481751825,53.76667302168279,0.9833835129791793,-0.008377848717649978,0.918570118386787,1.0070741424755776,lettera,wikipedia,Adolf Hitler
p,lettere,1093,60000,0.018216666666666666,1.2496193571078449,0.008459744966526956,1.2014119274876942,True,54.92032967032967,58.21848028765402,1.0600533652496655,0.02915136387371565,0.9832933567367563,1.0301608228691215,lettera,wikipedia,Adolf Hitler
f,lettere,1070,60000,0.017833333333333333,1.1235943342149624,0.007575324323967267,1.0879821375710303,True,56.03180542563143,56.159908449495695,1.0022862555095478,0.0011418225057765452,0.9794197405173084,1.013402403295163,lettera,wikipedia,Adolf Hitler
g,lettere,1048,60000,0.017466666666666665,1.0819688502055909,0.004127862559336973,1.0607729333970575,True,57.185291308500474,55.35786627908789,0.9680437925977489,-0.016237548941972484,1.0017727366139517,1.035963973071359,lettera,wikipedia,Adolf Hitler
w,lettere,721,60000,0.012016666666666667,1.1328135362374503,0.007227816957609089,1.0953018406682131,True,83.22638888888889,79.70903361472226,0.9577374998347884,-0.02158741923714395,0.9902904593271739,0.9192139724825582,lettera,wikipedia,Adolf Hitler
y,lettere,703,60000,0.011716666666666667,1.0684634575462326,0.0060076365370448056,1.0455179076578864,True,85.12250712250712,81.57682344412912,0.9583461084707585,-0.021269933516383555,1.039047467790372,1.0202906886939491,lettera,wikipedia,Adolf Hitler
the,parole,704,60000,0.011733333333333333,1.188678551600419,0.005417659406303436,1.166952054217239,True,85.16073968705548,81.86084395284145,0.9612509737897965,-0.019757301196046,1.0282280118080258,1.0159554099510884,funzione,wikipedia,Adolf Hitler
