titolo,n_char,frasi_1k,righe_corte,len_token,kgram,n_grezzo,abbastanza_lungo,prosa,ammesso
Napoleon,85533,8.067061835782681,0.007142857142857143,5.169321355778667,0.9019222674337029,88374,True,True,True
World War II,84180,6.426704680446662,0.0,5.32035577748303,0.8717610578465267,86169,True,True,True
World War I,83704,6.893338430660423,0.033783783783783786,5.28783570300158,0.8999211413004516,88434,True,True,True
United States,90424,8.747677607714767,0.0,5.311947554507955,0.8834693742119584,93060,True,True,True
India,63585,7.517496264842337,0.011494252873563218,5.336445656735208,0.9307757644394111,65071,True,True,True
China,60964,7.889902237385998,0.0,5.409566846687976,0.9189880893788759,62373,True,True,True
Japan,51398,7.685123934783455,0.01098901098901099,5.2991286253088825,0.9197898423817863,52681,True,True,True
Russia,92132,7.163634784873876,0.0,5.369200609888913,0.8878793799661326,95515,True,True,True
Germany,54556,7.405234987902339,0.0,5.406646751306946,0.9137608623913761,56017,True,True,True
France,90490,7.0615537628467235,0.0,5.29780817887614,0.9029840848806366,92533,True,True,True
United Kingdom,93835,7.086907870197687,0.0,5.161111111111111,0.8678177458033574,95825,True,True,True
Italy,92909,7.480437847786543,0.016304347826086956,5.308207825898969,0.912648948881067,94529,True,True,True
Brazil,85195,6.725746816127707,0.0,5.323485385645632,0.898855432294418,86514,True,True,True
Canada,66868,6.535263504217264,0.0,5.492249255723232,0.8799246163510724,68240,True,True,True
Australia,61821,6.955565260995455,0.03361344537815126,5.481147814481147,0.8793923509998058,63309,True,True,True
Roman Empire,98077,7.66744496670983,0.012738853503184714,5.350401069518717,0.9204013582550705,100546,True,True,True
Byzantine Empire,58277,6.966727868627418,0.0,5.546970408642555,0.9232353395458992,61202,True,True,True
Ottoman Empire,94338,6.550912675698022,0.013986013986013986,5.252444691032665,0.8793054097891423,96567,True,True,True
Mongol Empire,65943,7.324507529229789,0.0,5.162515747649966,0.9185549185549186,67527,True,True,True
British Empire,79483,5.925795453115761,0.0,5.225486986413488,0.8748254124042127,81131,True,True,True
Ancient Egypt,79263,6.699216532303849,0.017391304347826087,5.210505115604608,0.9127488833371187,83945,True,True,True
Ancient Greece,46738,6.782489623004835,0.0,5.183310533515732,0.9137776065742167,48097,False,True,False
Ancient Rome,95251,7.590471491112954,0.13664596273291926,5.153249531960417,0.9126216650392163,97221,True,True,True
Middle Ages,92205,8.231657719212624,0.0,5.118124436429215,0.8866002863464792,94084,True,True,True
Renaissance,66333,6.346765561635988,0.01834862385321101,5.33766491419502,0.8989958386104577,67887,True,True,True
French Revolution,81900,6.800976800976801,0.0,5.31625441696113,0.8999157416565923,84942,True,True,True
American Civil War,93970,8.0557624773864,0.09883720930232558,5.197835527676294,0.8840357598978289,97298,True,True,True
Cold War,97947,6.411630779911585,0.012422360248447204,5.30591070352768,0.8836917233351712,101035,True,True,True
Industrial Revolution,109584,7.482844210833698,0.03608247422680412,5.350514216575923,0.8822724161533196,112910,True,True,True
Abraham Lincoln,72579,8.253075958610617,0.0,5.216286353467561,0.9157916494419182,75073,True,True,True
Albert Einstein,85583,7.384644146617903,0.012738853503184714,5.144158948311921,0.906327782646801,88941,True,True,True
Isaac Newton,85781,6.458306618015644,0.13245033112582782,5.155699791107132,0.9107761183589241,87560,True,True,True
Charles Darwin,61612,6.476011166655846,0.00909090909090909,5.182130226752652,0.9334761858381221,63736,True,True,True
Winston Churchill,91453,8.06971887198889,0.0,5.126802968771881,0.9005610052163643,96263,True,True,True
Adolf Hitler,83395,7.434498471131363,0.040983606557377046,5.2295094751618185,0.9151645979492714,85207,True,True,True
Joseph Stalin,93581,7.1809448499161155,0.0,5.342233869254197,0.900740598249495,95744,True,True,True
Mahatma Gandhi,60726,7.871422454961631,0.037383177570093455,5.138514934791754,0.9254409802855872,62887,True,True,True
Nelson Mandela,95994,6.187886742921433,0.0,5.280057154521331,0.8977652758243475,97839,True,True,True
