sequenza,livello,n_eventi,frequenza,n_chars,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A2,tipo,label,gruppo,fonte
vocali,vc,15066,0.30132,50000,1.290462096103372,0.004585886864307233,1.290288976149439,True,3.3186193162960507,1.744207987322316,0.525582424822696,-0.3109747251004422,0.9133869739043666,0.9289852857664184,vocali,Industrial Revolution,wikipedia,Industrial Revolution
spazio,lettere,7806,0.15612,50000,1.1984643946921707,0.014302900372577735,1.270860087877429,True,6.405637411915439,3.021742328251019,0.4717317159772622,-0.358943330695266,1.0115353541919097,0.9748678330918713,spazio,Industrial Revolution,wikipedia,Industrial Revolution
e,lettere,4568,0.09136,50000,1.2685203856315144,0.004553422916850508,1.2322483508579238,True,10.945697394350777,9.43528726910798,0.8620087810921632,-0.07410879062927835,0.9724776285693819,0.9580841194204863,lettera,Industrial Revolution,wikipedia,Industrial Revolution
t,lettere,3418,0.06836,50000,1.0242428496236147,0.012617692340520448,1.107323173687221,True,14.62774363476734,12.459236694578886,0.8517538320104046,-0.08005716819748558,0.8935682812147182,0.9935028179869457,lettera,Industrial Revolution,wikipedia,Industrial Revolution
n,lettere,3258,0.06516,50000,1.0294822648815758,0.005240214742308393,0.9999390649133643,True,15.342646607307339,13.154856428772728,0.857404642462884,-0.07677129381352103,0.9703810554748443,0.97635646337396,lettera,Industrial Revolution,wikipedia,Industrial Revolution
a,lettere,3215,0.0643,50000,1.0984426089915509,0.0035172625204231748,1.1111572980466278,True,15.55102675793404,13.413776145434648,0.8625653054446081,-0.07378785278220634,0.9902614242912612,0.9949670366392618,lettera,Industrial Revolution,wikipedia,Industrial Revolution
i,lettere,3056,0.06112,50000,1.1062789656596048,0.014641979799874093,1.0367645925310924,True,16.353518821603927,14.551336304132864,0.8897984869720957,-0.05831389631625391,1.0632081601851249,0.9204520004254332,lettera,Industrial Revolution,wikipedia,Industrial Revolution
o,lettere,3004,0.06008,50000,1.2659696159806102,0.009614396250210353,1.1875677909331284,True,16.643023643023643,15.60156513170184,0.9374237197723169,-0.03229870657051571,0.95616649166081,1.0436370794458132,lettera,Industrial Revolution,wikipedia,Industrial Revolution
r,lettere,2603,0.05206,50000,1.2177594085115393,0.008367618230945983,1.157394642237063,True,19.210607225211376,16.08226385745159,0.8371554146578849,-0.0886395261080511,0.9371919875288128,1.0001059551647635,lettera,Industrial Revolution,wikipedia,Industrial Revolution
s,lettere,2486,0.04972,50000,1.1214592078876706,0.0075811443918002725,1.0839209355749566,True,20.111066398390342,17.560768033968557,0.8731893021532708,-0.06769774827400389,0.9654300951350109,0.9428076463510333,lettera,Industrial Revolution,wikipedia,Industrial Revolution
d,lettere,1789,0.03578,50000,1.0016522294477936,0.019912654092127377,1.1160640722336899,True,27.949664429530202,24.912645029621814,0.8913396828943811,-0.05745150809680698,1.0581376011629242,1.016511213702247,lettera,Industrial Revolution,wikipedia,Industrial Revolution
