gruppo,modello,temperature,appaiata,keyword
llm,Qwen2.5-1.5B-v2,0.4,0.0,0.03
llm,Qwen2.5-1.5B-v2,0.5,0.0,0.06
llm,Qwen2.5-1.5B-v2,0.6,0.0,0.03
llm,Qwen2.5-1.5B-v2,0.7,0.03,0.09
llm,Qwen2.5-1.5B-v2,0.8,0.11,0.11
llm,Qwen2.5-1.5B-v2,0.9,0.29,0.14
llm,Qwen2.5-1.5B-v2,1.0,0.0,0.0
llm,Qwen2.5-1.5B-v2,1.1,0.0,0.0
llm,Qwen2.5-1.5B-v2,1.2,0.0,0.0
llm,Qwen2.5-1.5B-v2,1.3,0.0,0.0
llm,Qwen2.5-1.5B-v2,1.4,0.0,0.0
llm,Qwen2.5-1.5B-v2,1.5,0.0,0.0
llm,Qwen2.5-14B,0.4,0.0,0.0
llm,Qwen2.5-14B,0.5,0.0,0.14
llm,Qwen2.5-14B,0.6,0.0,0.14
llm,Qwen2.5-14B,0.7,0.14,0.29
llm,Qwen2.5-14B,0.8,0.29,0.43
llm,Qwen2.5-14B,0.9,0.43,0.14
llm,Qwen2.5-14B,1.0,0.0,0.0
llm,Qwen2.5-14B,1.2,0.0,0.0
llm,Qwen2.5-14B,1.3,0.0,0.0
llm,Qwen2.5-14B,1.4,0.0,0.0
llm,Qwen2.5-14B,1.5,0.0,0.0
llm,Qwen2.5-3B-v3,0.4,0.06,0.03
llm,Qwen2.5-3B-v3,0.5,0.0,0.03
llm,Qwen2.5-3B-v3,0.6,0.03,0.0
llm,Qwen2.5-3B-v3,0.7,0.03,0.03
llm,Qwen2.5-3B-v3,0.8,0.0,0.09
llm,Qwen2.5-3B-v3,0.9,0.1,0.14
llm,Qwen2.5-3B-v3,1.1,0.0,0.0
llm,Qwen2.5-3B-v3,1.2,0.0,0.0
llm,Qwen2.5-3B-v3,1.3,0.0,0.0
llm,Qwen2.5-3B-v3,1.4,0.0,0.0
llm,Qwen2.5-3B-v3,1.5,0.0,0.0
llm,Qwen3.5-2B-Base-v2,0.4,0.06,0.0
llm,Qwen3.5-2B-Base-v2,0.5,0.03,0.03
llm,Qwen3.5-2B-Base-v2,0.6,0.11,0.03
llm,Qwen3.5-2B-Base-v2,0.7,0.09,0.11
llm,Qwen3.5-2B-Base-v2,0.8,0.14,0.2
llm,Qwen3.5-2B-Base-v2,0.9,0.69,0.2
llm,Qwen3.5-2B-Base-v2,1.0,0.29,0.1
llm,Qwen3.5-2B-Base-v2,1.1,0.0,0.0
llm,Qwen3.5-2B-Base-v2,1.2,0.0,0.0
llm,Qwen3.5-2B-Base-v2,1.3,0.0,0.0
llm,Qwen3.5-2B-Base-v2,1.4,0.0,0.0
llm,Qwen3.5-2B-Base-v2,1.5,0.0,0.0
llm,Qwen3.5-4B-Base,0.4,0.03,0.03
llm,Qwen3.5-4B-Base,0.5,0.03,0.06
llm,Qwen3.5-4B-Base,0.6,0.03,0.11
llm,Qwen3.5-4B-Base,0.7,0.0,0.14
llm,Qwen3.5-4B-Base,0.8,0.03,0.14
llm,Qwen3.5-4B-Base,0.9,0.06,0.14
llm,Qwen3.5-4B-Base,1.0,0.34,0.06
llm,Qwen3.5-4B-Base,1.1,0.0,0.0
llm,Qwen3.5-4B-Base,1.2,0.0,0.0
llm,Qwen3.5-4B-Base,1.3,0.0,0.0
llm,Qwen3.5-4B-Base,1.4,0.0,0.0
llm,Qwen3.5-4B-Base,1.5,0.0,0.0
umano,Guerra e pace,,0.72,0.44
