modello,temperature,gamma_lettere,gamma_keyword,burst_keyword,burst_lettere,quota_burst_keyword,r_gamma_lettere,r_burst_keyword
Qwen2.5-1.5B-v2,0.4,0.7026514059786916,0.008492965146985488,0.1254335925973594,0.5446819457561415,,0.6138557040300533,0.08053515098915749
Qwen2.5-1.5B-v2,0.5,0.6894664237980099,0.31408000750274234,0.11863031846158509,0.6051260192079002,,0.6023369388923493,0.07616708101364482
Qwen2.5-1.5B-v2,0.6,1.136391997485358,1.694397789942018,0.41334893733462197,0.5703747540211933,0.06520305086754569,0.9927834822999666,0.2653923752810726
Qwen2.5-1.5B-v2,0.7,1.2331028994181241,0.8683241080460687,0.4737488218556258,0.8455931120946825,0.916149450427674,1.0772728013110495,0.3041723680956061
Qwen2.5-1.5B-v2,0.8,1.6942278256793306,1.4604481478566085,1.6254752881740793,1.488849657364441,0.9923617237103531,1.4801242918899546,1.0436430548749156
Qwen2.5-1.5B-v2,0.9,1.6595125440616882,1.424974391722624,3.2741832187660522,1.468342719647844,1.033747991071574,1.4497960616228887,2.1022027228058584
Qwen2.5-1.5B-v2,1.0,1.4983023224351966,,,1.4931837332371087,,1.3089583528367883,
Qwen2.5-1.5B-v2,1.1,1.0642971398379515,,,0.9982227750702425,,0.9297994204713942,
Qwen2.5-1.5B-v2,1.2,1.0322040948950046,,,1.0288701031303535,,0.9017620486960103,
Qwen2.5-1.5B-v2,1.3,1.0058773358353963,,,0.9811313026630933,,0.8787622637673005,
Qwen2.5-1.5B-v2,1.4,0.9934301167890988,,,0.9823911096393746,,0.8678880289107734,
Qwen2.5-1.5B-v2,1.5,1.003920083920885,,,0.9945789594340395,,0.877052354356,
Qwen2.5-14B,0.4,1.0710416999262928,,,0.5062728502057945,,0.9356916547232208,
Qwen2.5-14B,0.5,0.7464852539008033,0.4722233243907729,0.33827814531123956,0.7220092037468324,,0.6521501660458173,0.21719286631949947
Qwen2.5-14B,0.6,0.5564835952406282,0.19089933626788053,0.6670128829547217,0.8851804953877572,,0.4861594614783569,0.42825834872565555
Qwen2.5-14B,0.7,1.860526112311255,1.6627420946230687,2.9131813934693813,1.6107591921741355,0.9952461566523079,1.625407075003787,1.8704200248410958
Qwen2.5-14B,0.8,1.6455470887472927,1.3856627103923964,1.5199058854576029,0.948774977622382,0.9555551058310758,1.4375954535672086,0.9758617882177603
Qwen2.5-14B,0.9,1.4790647565680677,1.388533048133987,1.365287033684135,0.9765667701186789,0.8412352811408941,1.2921518831724423,0.8765881222444193
Qwen2.5-14B,1.0,1.42059416466787,,,1.1502165777674793,,1.2410703567561436,
Qwen2.5-14B,1.2,1.198771361569195,,,1.0348662811979776,,1.0472798202149185,
Qwen2.5-14B,1.3,1.1238831155276505,,,1.057317809354047,,0.981855377018398,
Qwen2.5-14B,1.4,1.0766449757170504,,,1.0099137171904757,,0.9405868314440575,
Qwen2.5-14B,1.5,1.0427000373015989,,,1.018622926395504,,0.910931594306589,
Qwen2.5-3B-v3,0.4,0.40518832767836754,-0.07252224541355477,0.018826780790748877,0.615250244615668,,0.3539837308164542,0.01208781158401302
Qwen2.5-3B-v3,0.5,0.8635834416399052,0.9652753389037311,0.35084173398672397,0.5442517201419113,,0.754450381862093,0.2252593697975088
Qwen2.5-3B-v3,0.6,0.9218413223102704,,,0.6248573910458369,,0.8053460778642872,
Qwen2.5-3B-v3,0.7,1.4111322023958304,0.5529897395987513,0.27149268963133316,0.9377019174838463,,1.2328041247916341,0.17431299143362158
