N,parola,tipo,n_eventi,gamma,gamma_se,mean_tau,sigma_tau,cv_tau,B_goh
5000,e,lettera,448,0.592962846174978,0.1184962905046126,11.12751677852349,9.878378294089087,0.8877432845713353,-0.05946609178596847
5000, ,spazio,814,0.8569207408811707,0.01895461132816869,6.1402214022140225,3.4290871769578635,0.5584631159588828,-0.28331558156219233
10000,e,lettera,921,0.9881774191125765,0.016426136351940353,10.81304347826087,9.111200551695202,0.8426120333292708,-0.08541568372716925
10000, ,spazio,1635,0.7889643852458215,0.041602280530469396,6.114443084455324,3.3131702102571254,0.5418596860734805,-0.29713489370308754
20000,e,lettera,1943,1.0345436799609027,0.01081412520407235,10.295056642636457,8.631381004462044,0.8384005357207668,-0.08790220691263897
20000, ,spazio,3187,1.058901072310685,0.007117297056315444,6.275580665411174,3.4249083076002296,0.5457516188863825,-0.2938689344157861
50000,prince,keyword,81,1.3000514991885335,0.027406216895488802,619.1,806.5658660038446,1.302803853987796,0.13149355011866365
50000,e,lettera,4871,0.9584793447328687,0.010947164983455725,10.26652977412731,8.477775232962546,0.825768338424089,-0.09542922719664368
50000, ,spazio,7917,1.1498756418970135,0.013487976208011293,6.315816068721577,3.535765458234,0.5598271735214886,-0.2821933313834832
100000,prince,keyword,108,1.3815656251420445,0.026235788531946802,741.7943925233645,1345.4196072567477,1.813736556675805,0.2892014018672618
100000,e,lettera,9448,1.129154945581306,0.013927239135856112,10.583994919021912,8.840285988917064,0.8352503999249853,-0.08976954865763756
100000, ,spazio,15918,1.0673394349049532,0.0056261035834570955,6.282339636866244,3.481895566694436,0.5542354867702242,-0.2868062896672729
300000,prince,keyword,318,1.3818438993424602,0.02189168281780618,941.2018927444796,2777.7673799903005,2.951298123605046,0.4938372308452241
300000,e,lettera,28548,1.103787768264925,0.005524219373169649,10.508459733071776,8.787719506030564,0.8362519083909347,-0.0891751784495375
300000, ,spazio,47939,1.18985561366672,0.008135776335442442,6.2578121740581585,3.467384138790934,0.5540888800026661,-0.2869276820232887
1000000,prince,keyword,980,1.423484856434785,0.020216768636100304,1020.8151174668028,3812.4289918006,3.7346909607503744,0.5775859466690448
1000000,e,lettera,95792,1.1624358484941184,0.005893645956301377,10.439237506655113,8.806999087386515,0.8436439042384053,-0.08480818633259016
1000000, ,spazio,160327,1.2094098183844606,0.00829910676646535,6.237235382907326,3.418457118408136,0.5480724886183004,-0.2919291665631614
3186696,prince,keyword,1913,1.4499510357256298,0.021678668462655353,1612.5496861924687,6276.029989219151,3.8919916967259662,0.591168562011557
3186696,e,lettera,310157,1.2081558626221354,0.008156951882261428,10.274439314409523,8.66733373920649,0.84358216287782,-0.08484451643750603
3186696, ,spazio,510491,1.223766968941544,0.005535365372684485,6.242392603185175,3.4095043322397407,0.5461855011330181,-0.2935058558849727
