gruppo,variante,i,gamma,modello,temperature
umano,originale,0.0,1.0335914569280944,,
umano,M1,0.0,0.985986791266582,,
umano,M2,0.0,1.1508053219752257,,
umano,originale,1.0,1.0940048958285495,,
umano,M1,1.0,1.016109529610326,,
umano,M2,1.0,1.1109755075870624,,
umano,originale,2.0,1.1539848770363166,,
umano,M1,2.0,0.9584405363336197,,
umano,M2,2.0,1.1531209031247305,,
umano,originale,3.0,1.118017703654758,,
umano,M1,3.0,0.9644003735009647,,
umano,M2,3.0,1.1253907290742406,,
umano,originale,4.0,1.1314966309688508,,
umano,M1,4.0,1.0576254529416276,,
umano,M2,4.0,1.1130628871062025,,
umano,originale,5.0,1.1696128108437143,,
umano,M1,5.0,1.0120982165894268,,
umano,M2,5.0,1.1618948568084322,,
llm,originale,,0.56438394319735,Qwen2.5-1.5B-v2,0.4
llm,M1,,0.9118761779433646,Qwen2.5-1.5B-v2,0.4
llm,M2,,0.4879418782252509,Qwen2.5-1.5B-v2,0.4
llm,originale,,0.41732251759441547,Qwen2.5-1.5B-v2,0.5
llm,M1,,0.9672348613859215,Qwen2.5-1.5B-v2,0.5
llm,M2,,0.5372780407826979,Qwen2.5-1.5B-v2,0.5
llm,originale,,1.2595733466951997,Qwen2.5-1.5B-v2,0.6
llm,M1,,1.1834627355552745,Qwen2.5-1.5B-v2,0.6
llm,M2,,1.4732856477558425,Qwen2.5-1.5B-v2,0.6
llm,originale,,1.7533709732063265,Qwen2.5-1.5B-v2,0.7
llm,M1,,1.4340274827834443,Qwen2.5-1.5B-v2,0.7
llm,M2,,1.6856260460898476,Qwen2.5-1.5B-v2,0.7
llm,originale,,1.8133951017383025,Qwen2.5-1.5B-v2,0.8
llm,M1,,1.3829017789887588,Qwen2.5-1.5B-v2,0.8
llm,M2,,1.8416849271857558,Qwen2.5-1.5B-v2,0.8
llm,originale,,1.574655880085192,Qwen2.5-1.5B-v2,0.9
llm,M1,,1.3881804987498616,Qwen2.5-1.5B-v2,0.9
llm,M2,,1.6509539726956777,Qwen2.5-1.5B-v2,0.9
llm,originale,,1.1279021771011317,Qwen2.5-1.5B-v2,1.0
llm,M1,,1.0475720632617036,Qwen2.5-1.5B-v2,1.0
llm,M2,,1.0801381872798577,Qwen2.5-1.5B-v2,1.0
llm,originale,,1.1782705276582741,Qwen2.5-1.5B-v2,1.1
llm,M1,,0.9525489542352235,Qwen2.5-1.5B-v2,1.1
llm,M2,,1.1023557237857842,Qwen2.5-1.5B-v2,1.1
llm,originale,,1.042218822759463,Qwen2.5-1.5B-v2,1.2
llm,M1,,0.9846765145400415,Qwen2.5-1.5B-v2,1.2
llm,M2,,1.0173416923428262,Qwen2.5-1.5B-v2,1.2
llm,originale,,1.0169407942719804,Qwen2.5-1.5B-v2,1.3
llm,M1,,1.033412750151085,Qwen2.5-1.5B-v2,1.3
llm,M2,,0.9585649915070125,Qwen2.5-1.5B-v2,1.3
llm,originale,,1.0171658470479652,Qwen2.5-1.5B-v2,1.4
llm,M1,,0.9538458200282414,Qwen2.5-1.5B-v2,1.4
llm,M2,,1.0110754868554164,Qwen2.5-1.5B-v2,1.4
llm,originale,,1.002000833462424,Qwen2.5-1.5B-v2,1.5
llm,M1,,1.004137714250318,Qwen2.5-1.5B-v2,1.5
llm,M2,,0.9922887827928684,Qwen2.5-1.5B-v2,1.5
llm,originale,,1.1591671937308203,Qwen2.5-14B,0.4
llm,M1,,0.9888450336471527,Qwen2.5-14B,0.4
llm,M2,,1.0485884276831108,Qwen2.5-14B,0.4
llm,originale,,0.7528118138159685,Qwen2.5-14B,0.5
llm,M1,,0.954137251110135,Qwen2.5-14B,0.5
llm,M2,,0.7265377807185965,Qwen2.5-14B,0.5
llm,originale,,0.5478742378872286,Qwen2.5-14B,0.6
llm,M1,,0.9405192526543427,Qwen2.5-14B,0.6
llm,M2,,0.6755877162987037,Qwen2.5-14B,0.6
llm,originale,,1.8713643153095423,Qwen2.5-14B,0.7
llm,M1,,1.516739173528718,Qwen2.5-14B,0.7
llm,M2,,1.8597991813819745,Qwen2.5-14B,0.7
llm,originale,,1.596102784241785,Qwen2.5-14B,0.8
llm,M1,,1.2809668147580058,Qwen2.5-14B,0.8
llm,M2,,1.6481630471022655,Qwen2.5-14B,0.8
llm,originale,,1.4916038380037404,Qwen2.5-14B,0.9
llm,M1,,1.0451315511907446,Qwen2.5-14B,0.9
llm,M2,,1.5468264044439983,Qwen2.5-14B,0.9
llm,originale,,1.5026421902094944,Qwen2.5-14B,1.0
llm,M1,,1.0074302962798944,Qwen2.5-14B,1.0
llm,M2,,1.4051712523950166,Qwen2.5-14B,1.0
llm,originale,,1.2772254152989235,Qwen2.5-14B,1.2
llm,M1,,1.0137991236363033,Qwen2.5-14B,1.2
llm,M2,,1.1972084200773039,Qwen2.5-14B,1.2
llm,originale,,1.1710764627496424,Qwen2.5-14B,1.3
llm,M1,,0.9887375442751708,Qwen2.5-14B,1.3
llm,M2,,1.1412753859859315,Qwen2.5-14B,1.3
llm,originale,,1.1135669111585949,Qwen2.5-14B,1.4
llm,M1,,0.9731113838513723,Qwen2.5-14B,1.4
llm,M2,,1.0536389733236244,Qwen2.5-14B,1.4
llm,originale,,1.0664576289228243,Qwen2.5-14B,1.5
llm,M1,,0.9879603746748978,Qwen2.5-14B,1.5
llm,M2,,1.0255046028303232,Qwen2.5-14B,1.5
llm,originale,,0.25882608959057907,Qwen2.5-3B-v3,0.4
llm,M1,,0.9039138200401421,Qwen2.5-3B-v3,0.4
llm,M2,,0.17965005386087768,Qwen2.5-3B-v3,0.4
llm,originale,,1.3339600554457252,Qwen2.5-3B-v3,0.5
llm,M1,,1.0789072627718084,Qwen2.5-3B-v3,0.5
llm,M2,,1.2885059711188394,Qwen2.5-3B-v3,0.5
llm,originale,,0.5721621260586313,Qwen2.5-3B-v3,0.6
llm,M1,,0.931375725700575,Qwen2.5-3B-v3,0.6
llm,M2,,0.4728845124188199,Qwen2.5-3B-v3,0.6
llm,originale,,1.83349980270403,Qwen2.5-3B-v3,0.7
llm,M1,,1.6173352550007851,Qwen2.5-3B-v3,0.7
llm,M2,,1.8298419770875647,Qwen2.5-3B-v3,0.7
llm,originale,,0.8535292364056943,Qwen2.5-3B-v3,0.8
llm,M1,,0.8951195677999593,Qwen2.5-3B-v3,0.8
llm,M2,,0.6953939120387196,Qwen2.5-3B-v3,0.8
llm,originale,,1.6619088859005076,Qwen2.5-3B-v3,0.9
llm,M1,,1.5146852221868436,Qwen2.5-3B-v3,0.9
llm,M2,,1.7419408675028443,Qwen2.5-3B-v3,0.9
llm,originale,,1.089704820909582,Qwen2.5-3B-v3,1.1
llm,M1,,0.9763273206122447,Qwen2.5-3B-v3,1.1
llm,M2,,0.9708574679568761,Qwen2.5-3B-v3,1.1
llm,originale,,0.9856217715566269,Qwen2.5-3B-v3,1.2
llm,M1,,0.9700025408354864,Qwen2.5-3B-v3,1.2
llm,M2,,0.9868968793532634,Qwen2.5-3B-v3,1.2
llm,originale,,1.0653654221856055,Qwen2.5-3B-v3,1.3
llm,M1,,0.9917424517741698,Qwen2.5-3B-v3,1.3
llm,M2,,0.9905023578822499,Qwen2.5-3B-v3,1.3
llm,originale,,0.9925813110646147,Qwen2.5-3B-v3,1.4
llm,M1,,0.9762816038152028,Qwen2.5-3B-v3,1.4
llm,M2,,1.0210662604183414,Qwen2.5-3B-v3,1.4
llm,originale,,0.9679636170150815,Qwen2.5-3B-v3,1.5
llm,M1,,1.0158806942352512,Qwen2.5-3B-v3,1.5
llm,M2,,0.9916064686435687,Qwen2.5-3B-v3,1.5
llm,originale,,-0.25790103589035,Qwen3.5-2B-Base-v2,0.4
llm,M1,,0.9015524197797736,Qwen3.5-2B-Base-v2,0.4
llm,M2,,-0.2898868930695009,Qwen3.5-2B-Base-v2,0.4
llm,originale,,1.4397687655003177,Qwen3.5-2B-Base-v2,0.5
llm,M1,,1.065978032260896,Qwen3.5-2B-Base-v2,0.5
llm,M2,,0.9922541517247202,Qwen3.5-2B-Base-v2,0.5
llm,originale,,1.0264670838942034,Qwen3.5-2B-Base-v2,0.6
llm,M1,,0.9418546090320794,Qwen3.5-2B-Base-v2,0.6
llm,M2,,1.0342044426530017,Qwen3.5-2B-Base-v2,0.6
llm,originale,,1.42569851576881,Qwen3.5-2B-Base-v2,0.7
llm,M1,,1.2954008877893752,Qwen3.5-2B-Base-v2,0.7
llm,M2,,1.255549676116889,Qwen3.5-2B-Base-v2,0.7
llm,originale,,1.7068722319110747,Qwen3.5-2B-Base-v2,0.8
llm,M1,,1.357852049688113,Qwen3.5-2B-Base-v2,0.8
llm,M2,,1.8388718438000855,Qwen3.5-2B-Base-v2,0.8
llm,originale,,1.2254539473065122,Qwen3.5-2B-Base-v2,0.9
llm,M1,,0.9736303456954186,Qwen3.5-2B-Base-v2,0.9
llm,M2,,1.2092749506431129,Qwen3.5-2B-Base-v2,0.9
llm,originale,,1.4024003275587058,Qwen3.5-2B-Base-v2,1.0
llm,M1,,1.1130412916570926,Qwen3.5-2B-Base-v2,1.0
llm,M2,,1.1151414538352664,Qwen3.5-2B-Base-v2,1.0
llm,originale,,1.425449914487378,Qwen3.5-2B-Base-v2,1.1
llm,M1,,1.2004972151931668,Qwen3.5-2B-Base-v2,1.1
llm,M2,,1.3087602862914554,Qwen3.5-2B-Base-v2,1.1
llm,originale,,0.9971506486172468,Qwen3.5-2B-Base-v2,1.2
llm,M1,,1.0049911887078729,Qwen3.5-2B-Base-v2,1.2
llm,M2,,0.956543433148406,Qwen3.5-2B-Base-v2,1.2
llm,originale,,1.0358121790000363,Qwen3.5-2B-Base-v2,1.3
llm,M1,,0.9756486971168556,Qwen3.5-2B-Base-v2,1.3
llm,M2,,0.9823741735053698,Qwen3.5-2B-Base-v2,1.3
llm,originale,,1.007674596470728,Qwen3.5-2B-Base-v2,1.4
llm,M1,,0.9571935478279684,Qwen3.5-2B-Base-v2,1.4
llm,M2,,0.9767100404514386,Qwen3.5-2B-Base-v2,1.4
llm,originale,,0.9699419910118412,Qwen3.5-2B-Base-v2,1.5
llm,M1,,1.0083924060910892,Qwen3.5-2B-Base-v2,1.5
llm,M2,,1.0065299773959853,Qwen3.5-2B-Base-v2,1.5
llm,originale,,1.1603925314591756,Qwen3.5-4B-Base,0.4
llm,M1,,0.9891228894669037,Qwen3.5-4B-Base,0.4
llm,M2,,1.2436057123779083,Qwen3.5-4B-Base,0.4
llm,originale,,0.3044716494721058,Qwen3.5-4B-Base,0.5
llm,M1,,0.9533580910008267,Qwen3.5-4B-Base,0.5
llm,M2,,0.4603847357757681,Qwen3.5-4B-Base,0.5
llm,originale,,0.9794599899095198,Qwen3.5-4B-Base,0.6
llm,M1,,0.9989916872228528,Qwen3.5-4B-Base,0.6
llm,M2,,0.8665035368853417,Qwen3.5-4B-Base,0.6
llm,originale,,1.4010622090921803,Qwen3.5-4B-Base,0.7
llm,M1,,1.0755319207913172,Qwen3.5-4B-Base,0.7
llm,M2,,1.2880240485143533,Qwen3.5-4B-Base,0.7
llm,originale,,1.7429736188505693,Qwen3.5-4B-Base,0.8
llm,M1,,1.2811591906180788,Qwen3.5-4B-Base,0.8
llm,M2,,1.5492998774893258,Qwen3.5-4B-Base,0.8
llm,originale,,1.7334068147610089,Qwen3.5-4B-Base,0.9
llm,M1,,1.6073687957934717,Qwen3.5-4B-Base,0.9
llm,M2,,1.8896471515725135,Qwen3.5-4B-Base,0.9
llm,originale,,1.1452456223218246,Qwen3.5-4B-Base,1.0
llm,M1,,1.0626248379057632,Qwen3.5-4B-Base,1.0
llm,M2,,1.0203908510938111,Qwen3.5-4B-Base,1.0
llm,originale,,1.0060339296685235,Qwen3.5-4B-Base,1.1
llm,M1,,0.975058157932971,Qwen3.5-4B-Base,1.1
llm,M2,,0.9872773307047072,Qwen3.5-4B-Base,1.1
llm,originale,,1.0136670650324109,Qwen3.5-4B-Base,1.2
llm,M1,,1.013737175438044,Qwen3.5-4B-Base,1.2
llm,M2,,0.9805599394316108,Qwen3.5-4B-Base,1.2
llm,originale,,0.9883231594456788,Qwen3.5-4B-Base,1.3
llm,M1,,0.964387432562889,Qwen3.5-4B-Base,1.3
llm,M2,,0.9714920979426074,Qwen3.5-4B-Base,1.3
llm,originale,,1.0054853100636691,Qwen3.5-4B-Base,1.4
llm,M1,,1.0305220487079862,Qwen3.5-4B-Base,1.4
llm,M2,,0.9933672487347719,Qwen3.5-4B-Base,1.4
llm,originale,,1.0246866662628908,Qwen3.5-4B-Base,1.5
llm,M1,,0.9686675555871427,Qwen3.5-4B-Base,1.5
llm,M2,,1.001614255205538,Qwen3.5-4B-Base,1.5
