sequenza,livello,n_eventi,frequenza,n_chars,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A1_sd,gamma_A2,gamma_A2_sd,cv_tau_A2,quota_burstiness,tipo,wordset,label,gruppo,modello,temperature,sample_id,degenerato,params_B,deg_ripetizione,deg_alfabeto,deg_lessico,kgram_unique,lat_frac,voc_ref,n_continuations,file
vocali,vc,14887,0.29774,50000,1.226904557545421,0.013277868344721333,1.132565275756262,True,3.358726320032245,1.5726158744848495,0.46821792686870417,-0.36219560012145974,1.0107269521791962,0.04619291969390889,1.0056297070957243,0.14469732715703792,0.4682179268687041,0.024810903565025865,vocali,riferimento,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
spazio,lettere,7917,0.15834,50000,1.1498756418970135,0.013487976208011293,1.0632079935937,True,6.315816068721577,3.535765458234,0.5598271735214886,-0.2821933313834832,0.9607539543354382,0.06845755643695547,0.9426944136659019,0.06551881614886573,0.5598271735214886,-0.3823542345424977,spazio,riferimento,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
e,lettere,4871,0.09742,50000,0.9584793447328687,0.010947164983455725,1.0037709482005126,True,10.26652977412731,8.477775232962546,0.825768338424089,-0.09542922719664368,0.9401396886842533,0.05216257750869192,0.9713052926189062,0.05530942170125633,0.8257683384240889,,lettera,riferimento,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
t,lettere,3264,0.06528,50000,1.154179207362017,0.013059113589127874,1.1707193251862955,True,15.29788538155072,14.306023558556745,0.9351634687896039,-0.03350442081823181,0.9745183732582952,0.04320639918367973,0.9752516110052393,0.08075891679277762,0.9351634687896039,-0.16051703351056176,lettera,riferimento,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
a,lettere,3285,0.0657,50000,1.0216172841095954,0.005296833616918272,1.0371273769508442,True,15.204323995127893,13.32544325311354,0.8764245787832181,-0.06585685490056588,0.9662509900986791,0.008095567565457495,1.005187429564388,0.08351835378254287,0.8764245787832182,0.2399667570675686,lettera,riferimento,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
o,lettere,2864,0.05728,50000,1.1288221949832091,0.010666425080535249,1.0718306135856723,True,17.450925602514843,16.07389095138339,0.921091025055255,-0.04107508385370516,0.9422929566991806,0.04691727519732321,0.9822626726038526,0.05027743973612492,0.921091025055255,-0.13768844257357457,lettera,riferimento,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
n,lettere,2850,0.057,50000,1.0530725437813881,0.006116908553872747,1.0682814065154358,True,17.533520533520534,15.402705794199655,0.8784719397768865,-0.06469516932871926,0.9509682150540998,0.03993928980591023,0.939272985351725,0.04146946453156456,0.8784719397768866,-1.1442265684195674,lettera,riferimento,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
i,lettere,2859,0.05718,50000,1.0992947925867516,0.003451320487652796,1.1052624522911807,True,17.48775367389783,15.554099828777602,0.8894281174599117,-0.058521349141738045,0.9801100908070226,0.026623155142014562,0.9600757438792149,0.059694806392232534,0.8894281174599117,-0.4020780453909927,lettera,riferimento,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
h,lettere,2386,0.04772,50000,0.938077545845632,0.0047718077775883785,0.977130962865797,True,20.952201257861635,18.096642952049834,0.8637108210890088,-0.07312785726669464,0.9354479418862972,0.057956029991458866,0.9878327079385419,0.054229085251378435,0.8637108210890089,,lettera,riferimento,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
s,lettere,2480,0.0496,50000,1.136109508227487,0.007664368800058269,1.0823020129542946,True,20.156514723678903,19.41099253696373,0.963013338519314,-0.018841777972117467,0.9455770946032592,0.026798341017168992,0.9362313117713468,0.017677100685429215,0.963013338519314,-0.46851016552108354,lettera,riferimento,umano_0,umano,Guerra e pace,,0,False,,,,,,,,,
